ID	名称	等级下限	等级上限	积分对应龙晶	扫荡奖励
id	client_name	lev_min	lev_max	point_longjing	sweep_prize
1	1到10级	1	10	40	4000
2	11到20级	11	20	40	4000
3	21到25级	21	25	50	5000
4	26到30级	26	30	60	6000
5	31到35级	31	35	70	7000
6	36到40级	36	40	80	8000
7	41到45级	41	45	90	9000
8	46到50级	46	50	100	10000
9	51到55级	51	55	110	11000
10	56到60级	56	60	120	12000
11	61到65级	61	65	130	13000
12	66到70级	66	70	140	14000
13	71到75级	71	75	150	15000
14	76到80级	76	80	160	16000
15	81到85级	81	85	170	17000
16	86到90级	86	90	180	18000
17	91到95级	91	95	190	19000
18	96到100级	96	100	200	20000
