id	排行区间	首次奖励
id	rank	prize
1	{1,1}	{11,500}
2	{2,2}	{11,300}
3	{3,3}	{11,200}
4	{4,4}	{11,100}
5	{5,5}	{11,80}
6	{6,10}	{11,60}
7	{11,15}	{11,50}
8	{16,20}	{11,50}
9	{21,25}	{11,50}
10	{26,30}	{11,50}
11	{31,35}	{11,50}
12	{36,40}	{11,50}
13	{41,45}	{11,50}
14	{46,50}	{11,50}
15	{51,55}	{11,40}
16	{56,60}	{11,40}
17	{61,65}	{11,40}
18	{66,70}	{11,40}
19	{71,75}	{11,40}
20	{76,80}	{11,40}
21	{81,85}	{11,40}
22	{86,90}	{11,40}
23	{91,95}	{11,40}
24	{96,100}	{11,40}
25	{101,110}	{11,30}
26	{111,120}	{11,30}
27	{121,130}	{11,30}
28	{131,140}	{11,30}
29	{141,150}	{11,30}
30	{151,160}	{11,20}
31	{161,170}	{11,20}
32	{171,180}	{11,20}
33	{181,190}	{11,20}
34	{191,200}	{11,20}
35	{201,210}	{11,10}
36	{211,220}	{11,10}
37	{221,230}	{11,10}
38	{231,240}	{11,10}
39	{241,250}	{11,10}
40	{251,260}	{11,10}
41	{261,270}	{11,10}
42	{271,280}	{11,10}
43	{281,290}	{11,10}
44	{291,300}	{11,10}
45	{301,310}	{11,10}
46	{311,320}	{11,10}
47	{321,330}	{11,10}
48	{331,340}	{11,10}
49	{341,350}	{11,10}
50	{351,360}	{11,10}
51	{361,370}	{11,10}
52	{371,380}	{11,10}
53	{381,390}	{11,10}
54	{391,400}	{11,10}
55	{401,410}	{11,10}
56	{411,420}	{11,10}
57	{421,430}	{11,10}
58	{431,440}	{11,10}
59	{441,450}	{11,10}
60	{451,460}	{11,10}
61	{461,470}	{11,10}
62	{471,480}	{11,10}
63	{481,490}	{11,10}
64	{491,500}	{11,10}
65	{501,600}	{11,10}
66	{601,700}	{11,10}
67	{701,800}	{11,10}
68	{801,900}	{11,10}
69	{901,1000}	{11,10}
70	{1001,2000}	{11,10}
71	{2001,3000}	{11,10}
72	{3001,4000}	{11,10}
73	{4001,5000}	{11,10}
74	{5001,6000}	{11,10}
75	{6001,7000}	{11,10}
76	{7001,8000}	{11,10}
77	{8001,9000}	{11,10}
78	{9001,10000}	{11,10}
79	{10001,11000}	{11,5}
80	{11001,12000}	{11,5}
81	{12001,13000}	{11,5}
82	{13001,14000}	{11,5}
83	{14001,15000}	{11,5}
84	{15001,16000}	{11,5}
85	{16001,17000}	{11,5}
86	{17001,18000}	{11,5}
87	{18001,19000}	{11,5}
88	{19001,20000}	{11,5}
89	{20001,99999}	{11,5}
