id	合成道具(包括装备和道具id)	碎片道具/数量
id	item_id	compound
1	30101	{20101,10}
2	30102	{20102,10}
3	30103	{20103,10}
4	30104	{20104,10}
5	30201	{20201,10}
6	30202	{20202,10}
7	30203	{20203,10}
8	30204	{20204,10}
9	30301	{20301,10}
10	30302	{20302,10}
11	30303	{20303,10}
12	30304	{20304,10}
13	30401	{20401,10}
14	30402	{20402,10}
15	30403	{20403,10}
16	30404	{20404,10}
17	30501	{20501,10}
18	30502	{20502,10}
19	30503	{20503,10}
20	30504	{20504,10}
21	30601	{20601,10}
22	30602	{20602,10}
23	30603	{20603,10}
24	30604	{20604,10}
25	30701	{20701,10}
26	30702	{20702,10}
27	30703	{20703,10}
28	30704	{20704,10}
29	30801	{20801,10}
30	30802	{20802,10}
31	30803	{20803,10}
32	30804	{20804,10}
101	911003011	{17001,30}
102	911005011	{17001,50}
103	910103011	{17001,30}
104	910105011	{17001,50}
105	910203011	{17001,30}
106	910205011	{17001,50}
107	910303011	{17001,30}
108	910305011	{17001,50}
109	910403011	{17001,30}
110	910405011	{17001,50}
111	910503011	{17001,30}
112	910505011	{17001,50}
113	911003012	{17002,30}
114	911005012	{17002,50}
115	910103012	{17002,30}
116	910105012	{17002,50}
117	910203012	{17002,30}
118	910205012	{17002,50}
119	910303012	{17002,30}
120	910305012	{17002,50}
121	910403012	{17002,30}
122	910405012	{17002,50}
123	910503012	{17002,30}
124	910505012	{17002,50}
125	911003013	{17003,30}
126	911005013	{17003,50}
127	910103013	{17003,30}
128	910105013	{17003,50}
129	910203013	{17003,30}
130	910205013	{17003,50}
131	910303013	{17003,30}
132	910305013	{17003,50}
133	910403013	{17003,30}
134	910405013	{17003,50}
135	910503013	{17003,30}
136	910505013	{17003,50}
209	911003020	{17010,30}
210	911005020	{17010,50}
211	910103020	{17010,30}
212	910105020	{17010,50}
213	910203020	{17010,30}
214	910205020	{17010,50}
215	910303020	{17010,30}
216	910305020	{17010,50}
217	910403020	{17010,30}
218	910405020	{17010,50}
219	910503020	{17010,30}
220	910505020	{17010,50}
