ID	名称	等级下限	等级上限	经验奖励列表（[第一波奖励，第二波奖励...]）	扫荡奖励
id	client_name	lev_min	lev_max	exp_prize_list	sweep_prize
1	1到10级	1	10	[8700,8700,8700,8700,8700,8700,8700,8700,8700,8700]	87000
2	11到20级	11	20	[8700,8700,8700,8700,8700,8700,8700,8700,8700,8700]	87000
3	21到25级	21	25	[16700,16700,16700,16700,16700,16700,16700,16700,16700,16700]	167000
4	26到30级	26	30	[27300,27300,27300,27300,27300,27300,27300,27300,27300,27300]	273000
5	31到35级	31	35	[49300,49300,49300,49300,49300,49300,49300,49300,49300,49300]	493000
6	36到40级	36	40	[74300,74300,74300,74300,74300,74300,74300,74300,74300,74300]	734000
7	41到45级	41	45	[93700,93700,93700,93700,93700,93700,93700,93700,93700,93700]	937000
8	46到50级	46	50	[108300,108300,108300,108300,108300,108300,108300,108300,108300,108300]	1083000
9	51到55级	51	55	[124400,124400,124400,124400,124400,124400,124400,124400,124400,124400]	1244000
10	56到60级	56	60	[142200,142200,142200,142200,142200,142200,142200,142200,142200,142200]	1422000
11	61到65级	61	65	[166600,166600,166600,166600,166600,166600,166600,166600,166600,166600]	1666000
12	66到70级	66	70	[192400,192400,192400,192400,192400,192400,192400,192400,192400,192400]	1924000
13	71到75级	71	75	[212900,212900,212900,212900,212900,212900,212900,212900,212900,212900]	2129000
14	76到80级	76	80	[224200,224200,224200,224200,224200,224200,224200,224200,224200,224200]	2242000
15	81到85级	81	85	[259800,259800,259800,259800,259800,259800,259800,259800,259800,259800]	2598000
16	86到90级	86	90	[324100,324100,324100,324100,324100,324100,324100,324100,324100,324100]	3241000
17	91到95级	91	95	[399500,399500,399500,399500,399500,399500,399500,399500,399500,399500]	3995000
18	96到100级	96	100	[487400,487400,487400,487400,487400,487400,487400,487400,487400,487400]	4874000
