签到奖励的日期	奖励ID	补签钻石
id	prize_id	diamond
20151201	260001	10
20151202	260002	20
20151203	260003	30
20151204	260004	40
20151205	260005	50
20151206	260006	60
20151207	260007	70
20151208	260008	80
20151209	260009	90
20151210	260010	100
20151211	260011	110
20151212	260012	120
20151213	260013	130
20151214	260014	140
20151215	260015	150
20151216	260016	160
20151217	260017	170
20151218	260018	180
20151219	260019	190
20151220	260020	200
20151221	260021	210
20151222	260022	220
20151223	260023	230
20151224	260024	240
20151225	260025	250
20151226	260026	260
20151227	260027	270
20151228	260028	280
20151229	260029	290
20151230	260030	300
20151231	260031	310
20160101	260001	10
20160102	260002	20
20160103	260003	30
20160104	260004	40
20160105	260005	50
20160106	260006	60
20160107	260007	70
20160108	260008	80
20160109	260009	90
20160110	260010	100
20160111	260011	110
20160112	260012	120
20160113	260013	130
20160114	260014	140
20160115	260015	150
20160116	260016	160
20160117	260017	170
20160118	260018	180
20160119	260019	190
20160120	260020	200
20160121	260021	210
20160122	260022	220
20160123	260023	230
20160124	260024	240
20160125	260025	250
20160126	260026	260
20160127	260027	270
20160128	260028	280
20160129	260029	290
20160130	260030	300
20160131	260031	310
20160201	260001	10
20160202	260002	20
20160203	260003	30
20160204	260004	40
20160205	260005	50
20160206	260006	60
20160207	260007	70
20160208	260008	80
20160209	260009	90
20160210	260010	100
20160211	260011	110
20160212	260012	120
20160213	260013	130
20160214	260014	140
20160215	260015	150
20160216	260016	160
20160217	260017	170
20160218	260018	180
20160219	260019	190
20160220	260020	200
20160221	260021	210
20160222	260022	220
20160223	260023	230
20160224	260024	240
20160225	260025	250
20160226	260026	260
20160227	260027	270
20160228	260028	280
20160229	260029	290
20160301	260001	10
20160302	260002	20
20160303	260003	30
20160304	260004	40
20160305	260005	50
20160306	260006	60
20160307	260007	70
20160308	260008	80
20160309	260009	90
20160310	260010	100
20160311	260011	110
20160312	260012	120
20160313	260013	130
20160314	260014	140
20160315	260015	150
20160316	260016	160
20160317	260017	170
20160318	260018	180
20160319	260019	190
20160320	260020	200
20160321	260021	210
20160322	260022	220
20160323	260023	230
20160324	260024	240
20160325	260025	250
20160326	260026	260
20160327	260027	270
20160328	260028	280
20160329	260029	290
20160330	260030	300
20160331	260031	310
20160401	260001	10
20160402	260002	20
20160403	260003	30
20160404	260004	40
20160405	260005	50
20160406	260006	60
20160407	260007	70
20160408	260008	80
20160409	260009	90
20160410	260010	100
20160411	260011	110
20160412	260012	120
20160413	260013	130
20160414	260014	140
20160415	260015	150
20160416	260016	160
20160417	260017	170
20160418	260018	180
20160419	260019	190
20160420	260020	200
20160421	260021	210
20160422	260022	220
20160423	260023	230
20160424	260024	240
20160425	260025	250
20160426	260026	260
20160427	260027	270
20160428	260028	280
20160429	260029	290
20160430	260030	300
20160501	260001	10
20160502	260002	20
20160503	260003	30
20160504	260004	40
20160505	260005	50
20160506	260006	60
20160507	260007	70
20160508	260008	80
20160509	260009	90
20160510	260010	100
20160511	260011	110
20160512	260012	120
20160513	260013	130
20160514	260014	140
20160515	260015	150
20160516	260016	160
20160517	260017	170
20160518	260018	180
20160519	260019	190
20160520	260020	200
20160521	260021	210
20160522	260022	220
20160523	260023	230
20160524	260024	240
20160525	260025	250
20160526	260026	260
20160527	260027	270
20160528	260028	280
20160529	260029	290
20160530	260030	300
20160531	260031	310
20160601	260001	10
20160602	260002	20
20160603	260003	30
20160604	260004	40
20160605	260005	50
20160606	260006	60
20160607	260007	70
20160608	260008	80
20160609	260009	90
20160610	260010	100
20160611	260011	110
20160612	260012	120
20160613	260013	130
20160614	260014	140
20160615	260015	150
20160616	260016	160
20160617	260017	170
20160618	260018	180
20160619	260019	190
20160620	260020	200
20160621	260021	210
20160622	260022	220
20160623	260023	230
20160624	260024	240
20160625	260025	250
20160626	260026	260
20160627	260027	270
20160628	260028	280
20160629	260029	290
20160630	260030	300
20160701	260001	10
20160702	260002	20
20160703	260003	30
20160704	260004	40
20160705	260005	50
20160706	260006	60
20160707	260007	70
20160708	260008	80
20160709	260009	90
20160710	260010	100
20160711	260011	110
20160712	260012	120
20160713	260013	130
20160714	260014	140
20160715	260015	150
20160716	260016	160
20160717	260017	170
20160718	260018	180
20160719	260019	190
20160720	260020	200
20160721	260021	210
20160722	260022	220
20160723	260023	230
20160724	260024	240
20160725	260025	250
20160726	260026	260
20160727	260027	270
20160728	260028	280
20160729	260029	290
20160730	260030	300
20160731	260031	310
20160801	260001	10
20160802	260002	20
20160803	260003	30
20160804	260004	40
20160805	260005	50
20160806	260006	60
20160807	260007	70
20160808	260008	80
20160809	260009	90
20160810	260010	100
20160811	260011	110
20160812	260012	120
20160813	260013	130
20160814	260014	140
20160815	260015	150
20160816	260016	160
20160817	260017	170
20160818	260018	180
20160819	260019	190
20160820	260020	200
20160821	260021	210
20160822	260022	220
20160823	260023	230
20160824	260024	240
20160825	260025	250
20160826	260026	260
20160827	260027	270
20160828	260028	280
20160829	260029	290
20160830	260030	300
20160831	260031	310
20160901	260001	10
20160902	260002	20
20160903	260003	30
20160904	260004	40
20160905	260005	50
20160906	260006	60
20160907	260007	70
20160908	260008	80
20160909	260009	90
20160910	260010	100
20160911	260011	110
20160912	260012	120
20160913	260013	130
20160914	260014	140
20160915	260015	150
20160916	260016	160
20160917	260017	170
20160918	260018	180
20160919	260019	190
20160920	260020	200
20160921	260021	210
20160922	260022	220
20160923	260023	230
20160924	260024	240
20160925	260025	250
20160926	260026	260
20160927	260027	270
20160928	260028	280
20160929	260029	290
20160930	260030	300
20161001	260001	10
20161002	260002	20
20161003	260003	30
20161004	260004	40
20161005	260005	50
20161006	260006	60
20161007	260007	70
20161008	260008	80
20161009	260009	90
20161010	260010	100
20161011	260011	110
20161012	260012	120
20161013	260013	130
20161014	260014	140
20161015	260015	150
20161016	260016	160
20161017	260017	170
20161018	260018	180
20161019	260019	190
20161020	260020	200
20161021	260021	210
20161022	260022	220
20161023	260023	230
20161024	260024	240
20161025	260025	250
20161026	260026	260
20161027	260027	270
20161028	260028	280
20161029	260029	290
20161030	260030	300
20161031	260031	310
20161101	260001	10
20161102	260002	20
20161103	260003	30
20161104	260004	40
20161105	260005	50
20161106	260006	60
20161107	260007	70
20161108	260008	80
20161109	260009	90
20161110	260010	100
20161111	260011	110
20161112	260012	120
20161113	260013	130
20161114	260014	140
20161115	260015	150
20161116	260016	160
20161117	260017	170
20161118	260018	180
20161119	260019	190
20161120	260020	200
20161121	260021	210
20161122	260022	220
20161123	260023	230
20161124	260024	240
20161125	260025	250
20161126	260026	260
20161127	260027	270
20161128	260028	280
20161129	260029	290
20161130	260030	300
20161201	260001	10
20161202	260002	20
20161203	260003	30
20161204	260004	40
20161205	260005	50
20161206	260006	60
20161207	260007	70
20161208	260008	80
20161209	260009	90
20161210	260010	100
20161211	260011	110
20161212	260012	120
20161213	260013	130
20161214	260014	140
20161215	260015	150
20161216	260016	160
20161217	260017	170
20161218	260018	180
20161219	260019	190
20161220	260020	200
20161221	260021	210
20161222	260022	220
20161223	260023	230
20161224	260024	240
20161225	260025	250
20161226	260026	260
20161227	260027	270
20161228	260028	280
