id	bossid	排名	奖励
id	bossid	rank_num	prize
1	1101	[1,1]	172111
2	1101	[2,2]	172112
3	1101	[3,3]	172113
4	1101	[4,10]	172114
5	1101	[11,20]	172115
6	1101	[20,50]	172116
7	1101	[51,51]	172117
8	1102	[1,1]	172211
9	1102	[2,2]	172212
10	1102	[3,3]	172213
11	1102	[4,10]	172214
12	1102	[11,20]	172215
13	1102	[20,50]	172216
14	1102	[51,51]	172217
15	1103	[1,1]	172311
16	1103	[2,2]	172312
17	1103	[3,3]	172313
18	1103	[4,10]	172314
19	1103	[11,20]	172315
20	1103	[20,50]	172316
21	1103	[51,51]	172317
22	1104	[1,1]	172411
23	1104	[2,2]	172412
24	1104	[3,3]	172413
25	1104	[4,10]	172414
26	1104	[11,20]	172415
27	1104	[20,50]	172416
28	1104	[51,51]	172417
29	1105	[1,1]	172511
30	1105	[2,2]	172512
31	1105	[3,3]	172513
32	1105	[4,10]	172514
33	1105	[11,20]	172515
34	1105	[20,50]	172516
35	1105	[51,51]	172517
36	1106	[1,1]	172611
37	1106	[2,2]	172612
38	1106	[3,3]	172613
39	1106	[4,10]	172614
40	1106	[11,20]	172615
41	1106	[20,50]	172616
42	1106	[51,51]	172617
43	1107	[1,1]	172711
44	1107	[2,2]	172712
45	1107	[3,3]	172713
46	1107	[4,10]	172714
47	1107	[11,20]	172715
48	1107	[20,50]	172716
49	1107	[51,51]	172717
50	1108	[1,1]	172811
51	1108	[2,2]	172812
52	1108	[3,3]	172813
53	1108	[4,10]	172814
54	1108	[11,20]	172815
55	1108	[20,50]	172816
56	1108	[51,51]	172817
57	1109	[1,1]	172911
58	1109	[2,2]	172912
59	1109	[3,3]	172913
60	1109	[4,10]	172914
61	1109	[11,20]	172915
62	1109	[20,50]	172916
63	1109	[51,51]	172917
64	1110	[1,1]	173011
65	1110	[2,2]	173012
66	1110	[3,3]	173013
67	1110	[4,10]	173014
68	1110	[11,20]	173015
69	1110	[20,50]	173016
70	1110	[51,51]	173017
71	1111	[1,1]	173111
72	1111	[2,2]	173112
73	1111	[3,3]	173113
74	1111	[4,10]	173114
75	1111	[11,20]	173115
76	1111	[20,50]	173116
77	1111	[51,51]	173117
78	1112	[1,1]	173211
79	1112	[2,2]	173212
80	1112	[3,3]	173213
81	1112	[4,10]	173214
82	1112	[11,20]	173215
83	1112	[20,50]	173216
84	1112	[51,51]	173217
85	1113	[1,1]	173311
86	1113	[2,2]	173312
87	1113	[3,3]	173313
88	1113	[4,10]	173314
89	1113	[11,20]	173315
90	1113	[20,50]	173316
91	1113	[51,51]	173317
92	1114	[1,1]	173411
93	1114	[2,2]	173412
94	1114	[3,3]	173413
95	1114	[4,10]	173414
96	1114	[11,20]	173415
97	1114	[20,50]	173416
98	1114	[51,51]	173417
99	1115	[1,1]	173511
100	1115	[2,2]	173512
101	1115	[3,3]	173513
102	1115	[4,10]	173514
103	1115	[11,20]	173515
104	1115	[20,50]	173516
105	1115	[51,51]	173517
106	1201	[1,1]	174111
107	1201	[2,2]	174112
108	1201	[3,3]	174113
109	1201	[4,10]	174114
110	1201	[11,20]	174115
111	1201	[20,50]	174116
112	1201	[51,51]	174117
113	1202	[1,1]	174211
114	1202	[2,2]	174212
115	1202	[3,3]	174213
116	1202	[4,10]	174214
117	1202	[11,20]	174215
118	1202	[20,50]	174216
119	1202	[51,51]	174217
120	1203	[1,1]	174311
121	1203	[2,2]	174312
122	1203	[3,3]	174313
123	1203	[4,10]	174314
124	1203	[11,20]	174315
125	1203	[20,50]	174316
126	1203	[51,51]	174317
127	1204	[1,1]	174411
128	1204	[2,2]	174412
129	1204	[3,3]	174413
130	1204	[4,10]	174414
131	1204	[11,20]	174415
132	1204	[20,50]	174416
133	1204	[51,51]	174417
134	1205	[1,1]	174511
135	1205	[2,2]	174512
136	1205	[3,3]	174513
137	1205	[4,10]	174514
138	1205	[11,20]	174515
139	1205	[20,50]	174516
140	1205	[51,51]	174517
141	1206	[1,1]	174611
142	1206	[2,2]	174612
143	1206	[3,3]	174613
144	1206	[4,10]	174614
145	1206	[11,20]	174615
146	1206	[20,50]	174616
147	1206	[51,51]	174617
148	1207	[1,1]	174711
149	1207	[2,2]	174712
150	1207	[3,3]	174713
151	1207	[4,10]	174714
152	1207	[11,20]	174715
153	1207	[20,50]	174716
154	1207	[51,51]	174717
155	1208	[1,1]	174811
156	1208	[2,2]	174812
157	1208	[3,3]	174813
158	1208	[4,10]	174814
159	1208	[11,20]	174815
160	1208	[20,50]	174816
161	1208	[51,51]	174817
162	1209	[1,1]	174911
163	1209	[2,2]	174912
164	1209	[3,3]	174913
165	1209	[4,10]	174914
166	1209	[11,20]	174915
167	1209	[20,50]	174916
168	1209	[51,51]	174917
169	1210	[1,1]	175011
170	1210	[2,2]	175012
171	1210	[3,3]	175013
172	1210	[4,10]	175014
173	1210	[11,20]	175015
174	1210	[20,50]	175016
175	1210	[51,51]	175017
176	1211	[1,1]	175111
177	1211	[2,2]	175112
178	1211	[3,3]	175113
179	1211	[4,10]	175114
180	1211	[11,20]	175115
181	1211	[20,50]	175116
182	1211	[51,51]	175117
183	1212	[1,1]	175211
184	1212	[2,2]	175212
185	1212	[3,3]	175213
186	1212	[4,10]	175214
187	1212	[11,20]	175215
188	1212	[20,50]	175216
189	1212	[51,51]	175217
190	1213	[1,1]	175311
191	1213	[2,2]	175312
192	1213	[3,3]	175313
193	1213	[4,10]	175314
194	1213	[11,20]	175315
195	1213	[20,50]	175316
196	1213	[51,51]	175317
197	1214	[1,1]	175411
198	1214	[2,2]	175412
199	1214	[3,3]	175413
200	1214	[4,10]	175414
201	1214	[11,20]	175415
202	1214	[20,50]	175416
203	1214	[51,51]	175417
204	1215	[1,1]	175511
205	1215	[2,2]	175512
206	1215	[3,3]	175513
207	1215	[4,10]	175514
208	1215	[11,20]	175515
209	1215	[20,50]	175516
210	1215	[51,51]	175517
211	1301	[1,1]	177111
212	1301	[2,2]	177112
213	1301	[3,3]	177113
214	1301	[4,10]	177114
215	1301	[11,20]	177115
216	1301	[20,50]	177116
217	1301	[51,51]	177117
218	1302	[1,1]	177211
219	1302	[2,2]	177212
220	1302	[3,3]	177213
221	1302	[4,10]	177214
222	1302	[11,20]	177215
223	1302	[20,50]	177216
224	1302	[51,51]	177217
225	1303	[1,1]	177311
226	1303	[2,2]	177312
227	1303	[3,3]	177313
228	1303	[4,10]	177314
229	1303	[11,20]	177315
230	1303	[20,50]	177316
231	1303	[51,51]	177317
232	1304	[1,1]	177411
233	1304	[2,2]	177412
234	1304	[3,3]	177413
235	1304	[4,10]	177414
236	1304	[11,20]	177415
237	1304	[20,50]	177416
238	1304	[51,51]	177417
239	1305	[1,1]	177511
240	1305	[2,2]	177512
241	1305	[3,3]	177513
242	1305	[4,10]	177514
243	1305	[11,20]	177515
244	1305	[20,50]	177516
245	1305	[51,51]	177517
246	1306	[1,1]	177611
247	1306	[2,2]	177612
248	1306	[3,3]	177613
249	1306	[4,10]	177614
250	1306	[11,20]	177615
251	1306	[20,50]	177616
252	1306	[51,51]	177617
253	1307	[1,1]	177711
254	1307	[2,2]	177712
255	1307	[3,3]	177713
256	1307	[4,10]	177714
257	1307	[11,20]	177715
258	1307	[20,50]	177716
259	1307	[51,51]	177717
260	1308	[1,1]	177811
261	1308	[2,2]	177812
262	1308	[3,3]	177813
263	1308	[4,10]	177814
264	1308	[11,20]	177815
265	1308	[20,50]	177816
266	1308	[51,51]	177817
267	1309	[1,1]	177911
268	1309	[2,2]	177912
269	1309	[3,3]	177913
270	1309	[4,10]	177914
271	1309	[11,20]	177915
272	1309	[20,50]	177916
273	1309	[51,51]	177917
274	1310	[1,1]	177011
275	1310	[2,2]	177012
276	1310	[3,3]	177013
277	1310	[4,10]	177014
278	1310	[11,20]	177015
279	1310	[20,50]	177016
280	1310	[51,51]	177017
281	1311	[1,1]	178011
282	1311	[2,2]	178012
283	1311	[3,3]	178013
284	1311	[4,10]	178014
285	1311	[11,20]	178015
286	1311	[20,50]	178016
287	1311	[51,51]	178017
288	1312	[1,1]	178111
289	1312	[2,2]	178112
290	1312	[3,3]	178113
291	1312	[4,10]	178114
292	1312	[11,20]	178115
293	1312	[20,50]	178116
294	1312	[51,51]	178117
295	1313	[1,1]	178211
296	1313	[2,2]	178212
297	1313	[3,3]	178213
298	1313	[4,10]	178214
299	1313	[11,20]	178215
300	1313	[20,50]	178216
301	1313	[51,51]	178217
302	1314	[1,1]	178311
303	1314	[2,2]	178312
304	1314	[3,3]	178313
305	1314	[4,10]	178314
306	1314	[11,20]	178315
307	1314	[20,50]	178316
308	1314	[51,51]	178317
309	1315	[1,1]	178411
310	1315	[2,2]	178412
311	1315	[3,3]	178413
312	1315	[4,10]	178414
313	1315	[11,20]	178415
314	1315	[20,50]	178416
315	1315	[51,51]	178417
