索引id	技能id	技能等级	技能消耗	技能升级伤害
id	client_skill_id	skill_level	skill_cost	damage
10110001	10110001	1	10001	50
10110002	10110001	2	10002	100
10110003	10110001	3	10003	150
10110004	10110001	4	10004	200
10110005	10110001	5	10005	250
10110006	10110001	6	10006	300
10110007	10110001	7	10007	350
10110008	10110001	8	10008	400
10110009	10110001	9	10009	450
10110010	10110001	10	10010	500
10110011	10110001	11	10011	550
10110012	10110001	12	10012	600
10110013	10110001	13	10013	650
10110014	10110001	14	10014	700
10110015	10110001	15	10015	750
10110016	10110001	16	10016	800
10110017	10110001	17	10017	850
10110018	10110001	18	10018	900
10110019	10110001	19	10019	950
10110020	10110001	20	10020	1000
10110021	10110001	21	10021	1050
10110022	10110001	22	10022	1100
10110023	10110001	23	10023	1150
10110024	10110001	24	10024	1200
10110025	10110001	25	10025	1250
10110026	10110001	26	10026	1300
10110027	10110001	27	10027	1350
10110028	10110001	28	10028	1400
10110029	10110001	29	10029	1450
10110030	10110001	30	10030	1500
10110031	10110001	31	10031	1550
10110032	10110001	32	10032	1600
10110033	10110001	33	10033	1650
10110034	10110001	34	10034	1700
10110035	10110001	35	10035	1750
10110036	10110001	36	10036	1800
10110037	10110001	37	10037	1850
10110038	10110001	38	10038	1900
10110039	10110001	39	10039	1950
10110040	10110001	40	10040	2000
10110041	10110001	41	10041	2050
10110042	10110001	42	10042	2100
10110043	10110001	43	10043	2150
10110044	10110001	44	10044	2200
10110045	10110001	45	10045	2250
10110046	10110001	46	10046	2300
10110047	10110001	47	10047	2350
10110048	10110001	48	10048	2400
10110049	10110001	49	10049	2450
10110050	10110001	50	10050	2500
10110051	10110001	51	10051	2550
10110052	10110001	52	10052	2600
10110053	10110001	53	10053	2650
10110054	10110001	54	10054	2700
10110055	10110001	55	10055	2750
10110056	10110001	56	10056	2800
10110057	10110001	57	10057	2850
10110058	10110001	58	10058	2900
10110059	10110001	59	10059	2950
10110060	10110001	60	10060	3000
10110061	10110001	61	10061	3050
10110062	10110001	62	10062	3100
10110063	10110001	63	10063	3150
10110064	10110001	64	10064	3200
10110065	10110001	65	10065	3250
10110066	10110001	66	10066	3300
10110067	10110001	67	10067	3350
10110068	10110001	68	10068	3400
10110069	10110001	69	10069	3450
10110070	10110001	70	10070	3500
10110071	10110001	71	10071	3550
10110072	10110001	72	10072	3600
10110073	10110001	73	10073	3650
10110074	10110001	74	10074	3700
10110075	10110001	75	10075	3750
10110076	10110001	76	10076	3800
10110077	10110001	77	10077	3850
10110078	10110001	78	10078	3900
10110079	10110001	79	10079	3950
10110080	10110001	80	10080	4000
10110081	10110001	81	10081	4050
10110082	10110001	82	10082	4100
10110083	10110001	83	10083	4150
10110084	10110001	84	10084	4200
10110085	10110001	85	10085	4250
10110086	10110001	86	10086	4300
10110087	10110001	87	10087	4350
10110088	10110001	88	10088	4400
10110089	10110001	89	10089	4450
10110090	10110001	90	10090	4500
10110091	10110001	91	10091	4550
10110092	10110001	92	10092	4600
10110093	10110001	93	10093	4650
10110094	10110001	94	10094	4700
10110095	10110001	95	10095	4750
10110096	10110001	96	10096	4800
10110097	10110001	97	10097	4850
10110098	10110001	98	10098	4900
10110099	10110001	99	10099	4950
10110100	10110001	100	10100	5000
10210001	10210001	1	10001	50
10210002	10210001	2	10002	100
10210003	10210001	3	10003	150
10210004	10210001	4	10004	200
10210005	10210001	5	10005	250
10210006	10210001	6	10006	300
10210007	10210001	7	10007	350
10210008	10210001	8	10008	400
10210009	10210001	9	10009	450
10210010	10210001	10	10010	500
10210011	10210001	11	10011	550
10210012	10210001	12	10012	600
10210013	10210001	13	10013	650
10210014	10210001	14	10014	700
10210015	10210001	15	10015	750
10210016	10210001	16	10016	800
10210017	10210001	17	10017	850
10210018	10210001	18	10018	900
10210019	10210001	19	10019	950
10210020	10210001	20	10020	1000
10210021	10210001	21	10021	1050
10210022	10210001	22	10022	1100
10210023	10210001	23	10023	1150
10210024	10210001	24	10024	1200
10210025	10210001	25	10025	1250
10210026	10210001	26	10026	1300
10210027	10210001	27	10027	1350
10210028	10210001	28	10028	1400
10210029	10210001	29	10029	1450
10210030	10210001	30	10030	1500
10210031	10210001	31	10031	1550
10210032	10210001	32	10032	1600
10210033	10210001	33	10033	1650
10210034	10210001	34	10034	1700
10210035	10210001	35	10035	1750
10210036	10210001	36	10036	1800
10210037	10210001	37	10037	1850
10210038	10210001	38	10038	1900
10210039	10210001	39	10039	1950
10210040	10210001	40	10040	2000
10210041	10210001	41	10041	2050
10210042	10210001	42	10042	2100
10210043	10210001	43	10043	2150
10210044	10210001	44	10044	2200
10210045	10210001	45	10045	2250
10210046	10210001	46	10046	2300
10210047	10210001	47	10047	2350
10210048	10210001	48	10048	2400
10210049	10210001	49	10049	2450
10210050	10210001	50	10050	2500
10210051	10210001	51	10051	2550
10210052	10210001	52	10052	2600
10210053	10210001	53	10053	2650
10210054	10210001	54	10054	2700
10210055	10210001	55	10055	2750
10210056	10210001	56	10056	2800
10210057	10210001	57	10057	2850
10210058	10210001	58	10058	2900
10210059	10210001	59	10059	2950
10210060	10210001	60	10060	3000
10210061	10210001	61	10061	3050
10210062	10210001	62	10062	3100
10210063	10210001	63	10063	3150
10210064	10210001	64	10064	3200
10210065	10210001	65	10065	3250
10210066	10210001	66	10066	3300
10210067	10210001	67	10067	3350
10210068	10210001	68	10068	3400
10210069	10210001	69	10069	3450
10210070	10210001	70	10070	3500
10210071	10210001	71	10071	3550
10210072	10210001	72	10072	3600
10210073	10210001	73	10073	3650
10210074	10210001	74	10074	3700
10210075	10210001	75	10075	3750
10210076	10210001	76	10076	3800
10210077	10210001	77	10077	3850
10210078	10210001	78	10078	3900
10210079	10210001	79	10079	3950
10210080	10210001	80	10080	4000
10210081	10210001	81	10081	4050
10210082	10210001	82	10082	4100
10210083	10210001	83	10083	4150
10210084	10210001	84	10084	4200
10210085	10210001	85	10085	4250
10210086	10210001	86	10086	4300
10210087	10210001	87	10087	4350
10210088	10210001	88	10088	4400
10210089	10210001	89	10089	4450
10210090	10210001	90	10090	4500
10210091	10210001	91	10091	4550
10210092	10210001	92	10092	4600
10210093	10210001	93	10093	4650
10210094	10210001	94	10094	4700
10210095	10210001	95	10095	4750
10210096	10210001	96	10096	4800
10210097	10210001	97	10097	4850
10210098	10210001	98	10098	4900
10210099	10210001	99	10099	4950
10210100	10210001	100	10100	5000
10310001	10310001	1	10001	50
10310002	10310001	2	10002	100
10310003	10310001	3	10003	150
10310004	10310001	4	10004	200
10310005	10310001	5	10005	250
10310006	10310001	6	10006	300
10310007	10310001	7	10007	350
10310008	10310001	8	10008	400
10310009	10310001	9	10009	450
10310010	10310001	10	10010	500
10310011	10310001	11	10011	550
10310012	10310001	12	10012	600
10310013	10310001	13	10013	650
10310014	10310001	14	10014	700
10310015	10310001	15	10015	750
10310016	10310001	16	10016	800
10310017	10310001	17	10017	850
10310018	10310001	18	10018	900
10310019	10310001	19	10019	950
10310020	10310001	20	10020	1000
10310021	10310001	21	10021	1050
10310022	10310001	22	10022	1100
10310023	10310001	23	10023	1150
10310024	10310001	24	10024	1200
10310025	10310001	25	10025	1250
10310026	10310001	26	10026	1300
10310027	10310001	27	10027	1350
10310028	10310001	28	10028	1400
10310029	10310001	29	10029	1450
10310030	10310001	30	10030	1500
10310031	10310001	31	10031	1550
10310032	10310001	32	10032	1600
10310033	10310001	33	10033	1650
10310034	10310001	34	10034	1700
10310035	10310001	35	10035	1750
10310036	10310001	36	10036	1800
10310037	10310001	37	10037	1850
10310038	10310001	38	10038	1900
10310039	10310001	39	10039	1950
10310040	10310001	40	10040	2000
10310041	10310001	41	10041	2050
10310042	10310001	42	10042	2100
10310043	10310001	43	10043	2150
10310044	10310001	44	10044	2200
10310045	10310001	45	10045	2250
10310046	10310001	46	10046	2300
10310047	10310001	47	10047	2350
10310048	10310001	48	10048	2400
10310049	10310001	49	10049	2450
10310050	10310001	50	10050	2500
10310051	10310001	51	10051	2550
10310052	10310001	52	10052	2600
10310053	10310001	53	10053	2650
10310054	10310001	54	10054	2700
10310055	10310001	55	10055	2750
10310056	10310001	56	10056	2800
10310057	10310001	57	10057	2850
10310058	10310001	58	10058	2900
10310059	10310001	59	10059	2950
10310060	10310001	60	10060	3000
10310061	10310001	61	10061	3050
10310062	10310001	62	10062	3100
10310063	10310001	63	10063	3150
10310064	10310001	64	10064	3200
10310065	10310001	65	10065	3250
10310066	10310001	66	10066	3300
10310067	10310001	67	10067	3350
10310068	10310001	68	10068	3400
10310069	10310001	69	10069	3450
10310070	10310001	70	10070	3500
10310071	10310001	71	10071	3550
10310072	10310001	72	10072	3600
10310073	10310001	73	10073	3650
10310074	10310001	74	10074	3700
10310075	10310001	75	10075	3750
10310076	10310001	76	10076	3800
10310077	10310001	77	10077	3850
10310078	10310001	78	10078	3900
10310079	10310001	79	10079	3950
10310080	10310001	80	10080	4000
10310081	10310001	81	10081	4050
10310082	10310001	82	10082	4100
10310083	10310001	83	10083	4150
10310084	10310001	84	10084	4200
10310085	10310001	85	10085	4250
10310086	10310001	86	10086	4300
10310087	10310001	87	10087	4350
10310088	10310001	88	10088	4400
10310089	10310001	89	10089	4450
10310090	10310001	90	10090	4500
10310091	10310001	91	10091	4550
10310092	10310001	92	10092	4600
10310093	10310001	93	10093	4650
10310094	10310001	94	10094	4700
10310095	10310001	95	10095	4750
10310096	10310001	96	10096	4800
10310097	10310001	97	10097	4850
10310098	10310001	98	10098	4900
10310099	10310001	99	10099	4950
10310100	10310001	100	10100	5000
10410001	10410001	1	10001	50
10410002	10410001	2	10002	100
10410003	10410001	3	10003	150
10410004	10410001	4	10004	200
10410005	10410001	5	10005	250
10410006	10410001	6	10006	300
10410007	10410001	7	10007	350
10410008	10410001	8	10008	400
10410009	10410001	9	10009	450
10410010	10410001	10	10010	500
10410011	10410001	11	10011	550
10410012	10410001	12	10012	600
10410013	10410001	13	10013	650
10410014	10410001	14	10014	700
10410015	10410001	15	10015	750
10410016	10410001	16	10016	800
10410017	10410001	17	10017	850
10410018	10410001	18	10018	900
10410019	10410001	19	10019	950
10410020	10410001	20	10020	1000
10410021	10410001	21	10021	1050
10410022	10410001	22	10022	1100
10410023	10410001	23	10023	1150
10410024	10410001	24	10024	1200
10410025	10410001	25	10025	1250
10410026	10410001	26	10026	1300
10410027	10410001	27	10027	1350
10410028	10410001	28	10028	1400
10410029	10410001	29	10029	1450
10410030	10410001	30	10030	1500
10410031	10410001	31	10031	1550
10410032	10410001	32	10032	1600
10410033	10410001	33	10033	1650
10410034	10410001	34	10034	1700
10410035	10410001	35	10035	1750
10410036	10410001	36	10036	1800
10410037	10410001	37	10037	1850
10410038	10410001	38	10038	1900
10410039	10410001	39	10039	1950
10410040	10410001	40	10040	2000
10410041	10410001	41	10041	2050
10410042	10410001	42	10042	2100
10410043	10410001	43	10043	2150
10410044	10410001	44	10044	2200
10410045	10410001	45	10045	2250
10410046	10410001	46	10046	2300
10410047	10410001	47	10047	2350
10410048	10410001	48	10048	2400
10410049	10410001	49	10049	2450
10410050	10410001	50	10050	2500
10410051	10410001	51	10051	2550
10410052	10410001	52	10052	2600
10410053	10410001	53	10053	2650
10410054	10410001	54	10054	2700
10410055	10410001	55	10055	2750
10410056	10410001	56	10056	2800
10410057	10410001	57	10057	2850
10410058	10410001	58	10058	2900
10410059	10410001	59	10059	2950
10410060	10410001	60	10060	3000
10410061	10410001	61	10061	3050
10410062	10410001	62	10062	3100
10410063	10410001	63	10063	3150
10410064	10410001	64	10064	3200
10410065	10410001	65	10065	3250
10410066	10410001	66	10066	3300
10410067	10410001	67	10067	3350
10410068	10410001	68	10068	3400
10410069	10410001	69	10069	3450
10410070	10410001	70	10070	3500
10410071	10410001	71	10071	3550
10410072	10410001	72	10072	3600
10410073	10410001	73	10073	3650
10410074	10410001	74	10074	3700
10410075	10410001	75	10075	3750
10410076	10410001	76	10076	3800
10410077	10410001	77	10077	3850
10410078	10410001	78	10078	3900
10410079	10410001	79	10079	3950
10410080	10410001	80	10080	4000
10410081	10410001	81	10081	4050
10410082	10410001	82	10082	4100
10410083	10410001	83	10083	4150
10410084	10410001	84	10084	4200
10410085	10410001	85	10085	4250
10410086	10410001	86	10086	4300
10410087	10410001	87	10087	4350
10410088	10410001	88	10088	4400
10410089	10410001	89	10089	4450
10410090	10410001	90	10090	4500
10410091	10410001	91	10091	4550
10410092	10410001	92	10092	4600
10410093	10410001	93	10093	4650
10410094	10410001	94	10094	4700
10410095	10410001	95	10095	4750
10410096	10410001	96	10096	4800
10410097	10410001	97	10097	4850
10410098	10410001	98	10098	4900
10410099	10410001	99	10099	4950
10410100	10410001	100	10100	5000
10510001	10510001	1	10001	50
10510002	10510001	2	10002	100
10510003	10510001	3	10003	150
10510004	10510001	4	10004	200
10510005	10510001	5	10005	250
10510006	10510001	6	10006	300
10510007	10510001	7	10007	350
10510008	10510001	8	10008	400
10510009	10510001	9	10009	450
10510010	10510001	10	10010	500
10510011	10510001	11	10011	550
10510012	10510001	12	10012	600
10510013	10510001	13	10013	650
10510014	10510001	14	10014	700
10510015	10510001	15	10015	750
10510016	10510001	16	10016	800
10510017	10510001	17	10017	850
10510018	10510001	18	10018	900
10510019	10510001	19	10019	950
10510020	10510001	20	10020	1000
10510021	10510001	21	10021	1050
10510022	10510001	22	10022	1100
10510023	10510001	23	10023	1150
10510024	10510001	24	10024	1200
10510025	10510001	25	10025	1250
10510026	10510001	26	10026	1300
10510027	10510001	27	10027	1350
10510028	10510001	28	10028	1400
10510029	10510001	29	10029	1450
10510030	10510001	30	10030	1500
10510031	10510001	31	10031	1550
10510032	10510001	32	10032	1600
10510033	10510001	33	10033	1650
10510034	10510001	34	10034	1700
10510035	10510001	35	10035	1750
10510036	10510001	36	10036	1800
10510037	10510001	37	10037	1850
10510038	10510001	38	10038	1900
10510039	10510001	39	10039	1950
10510040	10510001	40	10040	2000
10510041	10510001	41	10041	2050
10510042	10510001	42	10042	2100
10510043	10510001	43	10043	2150
10510044	10510001	44	10044	2200
10510045	10510001	45	10045	2250
10510046	10510001	46	10046	2300
10510047	10510001	47	10047	2350
10510048	10510001	48	10048	2400
10510049	10510001	49	10049	2450
10510050	10510001	50	10050	2500
10510051	10510001	51	10051	2550
10510052	10510001	52	10052	2600
10510053	10510001	53	10053	2650
10510054	10510001	54	10054	2700
10510055	10510001	55	10055	2750
10510056	10510001	56	10056	2800
10510057	10510001	57	10057	2850
10510058	10510001	58	10058	2900
