id	等级	升级经验	升级消耗{costid,经验}	阶数	进阶消耗costid	升级增加属性	进阶属性	形象id	吐出的奖励id	吐出的cd秒}	每天喷吐次数	获得愉悦值（costid,最小值,最大值）
id	level	exp	get_exp	grade	grade_cost	attr	grade_attr	form_id	out_pirce	out_cd	out_num	get_happy
1	1	116	{13100,100}			[{15,10},{16,10},{17,10},{18,10}]		1	170001	21600	3	{13300,3,7}
2	2	164	{13100,100}			[{15,40},{16,40},{17,40},{18,40}]		1	170001	21600	3	{13300,3,7}
3	3	244	{13100,100}			[{15,70},{16,70},{17,70},{18,70}]		1	170001	21600	3	{13300,3,7}
4	4	356	{13100,100}			[{15,100},{16,100},{17,100},{18,100}]		1	170001	21600	3	{13300,3,7}
5	5	500	{13100,100}			[{15,130},{16,130},{17,130},{18,130}]		1	170001	21600	3	{13300,3,7}
6	6	676	{13100,100}			[{15,160},{16,160},{17,160},{18,160}]		1	170001	21600	3	{13300,3,7}
7	7	884	{13100,100}			[{15,190},{16,190},{17,190},{18,190}]		1	170001	21600	3	{13300,3,7}
8	8	1124	{13100,100}			[{15,220},{16,220},{17,220},{18,220}]		1	170001	21600	3	{13300,3,7}
9	9	1396	{13100,100}			[{15,250},{16,250},{17,250},{18,250}]		1	170001	21600	3	{13300,3,7}
10	10	1700	{13100,100}	1	13201	[{15,280},{16,280},{17,280},{18,280}]	[{15,200},{16,200},{17,200},{18,200}]	1	170001	21600	3	{13300,3,7}
11	11	2036	{13100,100}			[{15,310},{16,310},{17,310},{18,310}]		1	170002	21600	3	{13300,3,7}
12	12	2404	{13100,100}			[{15,350},{16,350},{17,350},{18,350}]		1	170002	21600	3	{13300,3,7}
13	13	2804	{13100,100}			[{15,390},{16,390},{17,390},{18,390}]		1	170002	21600	3	{13300,3,7}
14	14	3236	{13100,100}			[{15,430},{16,430},{17,430},{18,430}]		1	170002	21600	3	{13300,3,7}
15	15	3700	{13100,100}			[{15,470},{16,470},{17,470},{18,470}]		1	170002	21600	3	{13300,3,7}
16	16	4196	{13100,100}			[{15,510},{16,510},{17,510},{18,510}]		1	170002	21600	3	{13300,3,7}
17	17	4724	{13100,100}			[{15,550},{16,550},{17,550},{18,550}]		1	170002	21600	3	{13300,3,7}
18	18	5284	{13100,100}			[{15,590},{16,590},{17,590},{18,590}]		1	170002	21600	3	{13300,3,7}
19	19	5876	{13100,100}			[{15,630},{16,630},{17,630},{18,630}]		1	170002	21600	3	{13300,3,7}
20	20	6500	{13100,100}	2	13202	[{15,670},{16,670},{17,670},{18,670}]	[{15,400},{16,400},{17,400},{18,400}]	1	170002	21600	3	{13300,3,7}
21	21	7156	{13100,100}			[{15,710},{16,710},{17,710},{18,710}]		2	170003	21600	3	{13300,3,7}
22	22	7844	{13100,100}			[{15,760},{16,760},{17,760},{18,760}]		2	170003	21600	3	{13300,3,7}
23	23	8564	{13100,100}			[{15,810},{16,810},{17,810},{18,810}]		2	170003	21600	3	{13300,3,7}
24	24	9316	{13100,100}			[{15,860},{16,860},{17,860},{18,860}]		2	170003	21600	3	{13300,3,7}
25	25	10100	{13100,100}			[{15,910},{16,910},{17,910},{18,910}]		2	170003	21600	3	{13300,3,7}
26	26	10916	{13100,100}			[{15,960},{16,960},{17,960},{18,960}]		2	170003	21600	3	{13300,3,7}
27	27	11764	{13100,100}			[{15,1010},{16,1010},{17,1010},{18,1010}]		2	170003	21600	3	{13300,3,7}
28	28	12644	{13100,100}			[{15,1060},{16,1060},{17,1060},{18,1060}]		2	170003	21600	3	{13300,3,7}
29	29	13556	{13100,100}			[{15,1110},{16,1110},{17,1110},{18,1110}]		2	170003	21600	3	{13300,3,7}
30	30	14500	{13100,100}	3	13203	[{15,1160},{16,1160},{17,1160},{18,1160}]	[{15,600},{16,600},{17,600},{18,600}]	2	170003	21600	3	{13300,3,7}
31	31	15476	{13100,100}			[{15,1210},{16,1210},{17,1210},{18,1210}]		2	170004	21600	3	{13300,3,7}
32	32	16484	{13100,100}			[{15,1270},{16,1270},{17,1270},{18,1270}]		2	170004	21600	3	{13300,3,7}
33	33	17524	{13100,100}			[{15,1330},{16,1330},{17,1330},{18,1330}]		2	170004	21600	3	{13300,3,7}
34	34	18596	{13100,100}			[{15,1390},{16,1390},{17,1390},{18,1390}]		2	170004	21600	3	{13300,3,7}
35	35	19700	{13100,100}			[{15,1450},{16,1450},{17,1450},{18,1450}]		2	170004	21600	3	{13300,3,7}
36	36	20836	{13100,100}			[{15,1510},{16,1510},{17,1510},{18,1510}]		2	170004	21600	3	{13300,3,7}
37	37	22004	{13100,100}			[{15,1570},{16,1570},{17,1570},{18,1570}]		2	170004	21600	3	{13300,3,7}
38	38	23204	{13100,100}			[{15,1630},{16,1630},{17,1630},{18,1630}]		2	170004	21600	3	{13300,3,7}
39	39	24436	{13100,100}			[{15,1690},{16,1690},{17,1690},{18,1690}]		2	170004	21600	3	{13300,3,7}
40	40	25700	{13100,100}	4	13204	[{15,1750},{16,1750},{17,1750},{18,1750}]	[{15,800},{16,800},{17,800},{18,800}]	2	170004	21600	3	{13300,3,7}
41	41	26996	{13100,100}			[{15,1810},{16,1810},{17,1810},{18,1810}]		3	170005	21600	3	{13300,3,7}
42	42	28324	{13100,100}			[{15,1880},{16,1880},{17,1880},{18,1880}]		3	170005	21600	3	{13300,3,7}
43	43	29684	{13100,100}			[{15,1950},{16,1950},{17,1950},{18,1950}]		3	170005	21600	3	{13300,3,7}
44	44	31076	{13100,100}			[{15,2020},{16,2020},{17,2020},{18,2020}]		3	170005	21600	3	{13300,3,7}
45	45	32500	{13100,100}			[{15,2090},{16,2090},{17,2090},{18,2090}]		3	170005	21600	3	{13300,3,7}
46	46	33956	{13100,100}			[{15,2160},{16,2160},{17,2160},{18,2160}]		3	170005	21600	3	{13300,3,7}
47	47	35444	{13100,100}			[{15,2230},{16,2230},{17,2230},{18,2230}]		3	170005	21600	3	{13300,3,7}
48	48	36964	{13100,100}			[{15,2300},{16,2300},{17,2300},{18,2300}]		3	170005	21600	3	{13300,3,7}
49	49	38516	{13100,100}			[{15,2370},{16,2370},{17,2370},{18,2370}]		3	170005	21600	3	{13300,3,7}
50	50	40100	{13100,100}	5	13205	[{15,2440},{16,2440},{17,2440},{18,2440}]	[{15,1000},{16,1000},{17,1000},{18,1000}]	3	170005	21600	3	{13300,3,7}
51	51	41716	{13100,100}			[{15,2510},{16,2510},{17,2510},{18,2510}]		3	170006	21600	3	{13300,3,7}
52	52	43364	{13100,100}			[{15,2590},{16,2590},{17,2590},{18,2590}]		3	170006	21600	3	{13300,3,7}
53	53	45044	{13100,100}			[{15,2670},{16,2670},{17,2670},{18,2670}]		3	170006	21600	3	{13300,3,7}
54	54	46756	{13100,100}			[{15,2750},{16,2750},{17,2750},{18,2750}]		3	170006	21600	3	{13300,3,7}
55	55	48500	{13100,100}			[{15,2830},{16,2830},{17,2830},{18,2830}]		3	170006	21600	3	{13300,3,7}
56	56	50276	{13100,100}			[{15,2910},{16,2910},{17,2910},{18,2910}]		3	170006	21600	3	{13300,3,7}
57	57	52084	{13100,100}			[{15,2990},{16,2990},{17,2990},{18,2990}]		3	170006	21600	3	{13300,3,7}
58	58	53924	{13100,100}			[{15,3070},{16,3070},{17,3070},{18,3070}]		3	170006	21600	3	{13300,3,7}
59	59	55796	{13100,100}			[{15,3150},{16,3150},{17,3150},{18,3150}]		3	170006	21600	3	{13300,3,7}
60	60	57700	{13100,100}	6	13206	[{15,3230},{16,3230},{17,3230},{18,3230}]	[{15,1200},{16,1200},{17,1200},{18,1200}]	3	170006	21600	3	{13300,3,7}
61	61	59636	{13100,100}			[{15,3310},{16,3310},{17,3310},{18,3310}]		4	170007	21600	3	{13300,3,7}
62	62	61604	{13100,100}			[{15,3400},{16,3400},{17,3400},{18,3400}]		4	170007	21600	3	{13300,3,7}
63	63	63604	{13100,100}			[{15,3490},{16,3490},{17,3490},{18,3490}]		4	170007	21600	3	{13300,3,7}
64	64	65636	{13100,100}			[{15,3580},{16,3580},{17,3580},{18,3580}]		4	170007	21600	3	{13300,3,7}
65	65	67700	{13100,100}			[{15,3670},{16,3670},{17,3670},{18,3670}]		4	170007	21600	3	{13300,3,7}
66	66	69796	{13100,100}			[{15,3760},{16,3760},{17,3760},{18,3760}]		4	170007	21600	3	{13300,3,7}
67	67	71924	{13100,100}			[{15,3850},{16,3850},{17,3850},{18,3850}]		4	170007	21600	3	{13300,3,7}
68	68	74084	{13100,100}			[{15,3940},{16,3940},{17,3940},{18,3940}]		4	170007	21600	3	{13300,3,7}
69	69	76276	{13100,100}			[{15,4030},{16,4030},{17,4030},{18,4030}]		4	170007	21600	3	{13300,3,7}
70	70	78500	{13100,100}	7	13207	[{15,4120},{16,4120},{17,4120},{18,4120}]	[{15,1400},{16,1400},{17,1400},{18,1400}]	4	170007	21600	3	{13300,3,7}
71	71	80756	{13100,100}			[{15,4210},{16,4210},{17,4210},{18,4210}]		4	170008	21600	3	{13300,3,7}
72	72	83044	{13100,100}			[{15,4320},{16,4320},{17,4320},{18,4320}]		4	170008	21600	3	{13300,3,7}
73	73	85364	{13100,100}			[{15,4430},{16,4430},{17,4430},{18,4430}]		4	170008	21600	3	{13300,3,7}
74	74	87716	{13100,100}			[{15,4540},{16,4540},{17,4540},{18,4540}]		4	170008	21600	3	{13300,3,7}
75	75	90100	{13100,100}			[{15,4650},{16,4650},{17,4650},{18,4650}]		4	170008	21600	3	{13300,3,7}
76	76	92516	{13100,100}			[{15,4760},{16,4760},{17,4760},{18,4760}]		4	170008	21600	3	{13300,3,7}
77	77	94964	{13100,100}			[{15,4870},{16,4870},{17,4870},{18,4870}]		4	170008	21600	3	{13300,3,7}
78	78	97444	{13100,100}			[{15,4990},{16,4990},{17,4990},{18,4990}]		4	170008	21600	3	{13300,3,7}
79	79	99956	{13100,100}			[{15,5110},{16,5110},{17,5110},{18,5110}]		4	170008	21600	3	{13300,3,7}
80	80	102500	{13100,100}	8	13208	[{15,5230},{16,5230},{17,5230},{18,5230}]	[{15,1600},{16,1600},{17,1600},{18,1600}]	4	170008	21600	3	{13300,3,7}
81	81	105076	{13100,100}			[{15,5350},{16,5350},{17,5350},{18,5350}]		5	170009	21600	3	{13300,3,7}
82	82	107684	{13100,100}			[{15,5480},{16,5480},{17,5480},{18,5480}]		5	170009	21600	3	{13300,3,7}
83	83	110324	{13100,100}			[{15,5610},{16,5610},{17,5610},{18,5610}]		5	170009	21600	3	{13300,3,7}
84	84	112996	{13100,100}			[{15,5740},{16,5740},{17,5740},{18,5740}]		5	170009	21600	3	{13300,3,7}
