id（type*1000+num）（职业[1-10]：战士=1、法师=2、弓箭手=3、骑士=4,其余预留）]、(装备基础属性[11-20])、（宝石[21-29]、史诗宝石[30-50]）、(皇冠碎片[51-60]）、（宠物升级[61-80]、（公会BUFF科技[81-90])、(称号[90]）、(称号[91-99]）、(技能龙纹[250-450])，（宠物进阶[600])、（测试怪物[500]、副本机关[1000]、怪物[1001-2010]、剧情副本怪物[100-110]、守卫人鱼怪物[2010（待定）]、时空裂隙怪物[111-119]、120公会BOSS、怪物攻城[121-129]），套装[3000-5000]，装备强化[10000-49999])	client_name	力量	智力	敏捷	体质	暴击等级	韧性等级	攻击	防御	生命	能量	精准等级	招架等级	冰系攻击	火系攻击	雷系攻击	冰系防御	火系防御	雷系防御	攻击速度	破甲	无视伤害	伤害加深	伤害减免	体力	蓝	移动速度	跑动速度(格/10s）	吸血	反伤	霸体值	是否怪物属性(1怪物,其余不填，仅客户端程序需要）
id	client_name	strength	intellect	nimble	strong	crit	pliable	atk	def	hp	np	precise	block	ice_atk	fire_atk	thunder_atk	ice_def	fire_def	thunder_def	atk_speed	break_def	pure_atk	atk_deep	atk_free	sp	mp	move_speed	run_speed	suck_blood	reverse	bati	client_is_monster
0																																
1	新手BOSS							1		999999999		10000														10000	80	115				
2	新手玩家							1000		100000		10000														10000	80	115				
3	龙骑							1000		100000		10000														10000	80	115				
100	GM武装	100000	100000	100000	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
101	战争学院-战士	5	4	3	8	2	3	100		1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	80	115				
102	战争学院-法师	4	5	3	6	2	2	100		1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	80	115				
103	战争学院-拳师	4	4	5	5	3	2	100		1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	80	115				
104	战争学院-圣骑士	5	3	4	6	2	2	100		1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	80	115				
201	战争学院BOSS1	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
202	战争学院BOSS2	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
203	战争学院BOSS3	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
204	战争学院BOSS4	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
205	战争学院BOSS5	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
206	战争学院BOSS6	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
207	战争学院BOSS7	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
208	战争学院BOSS8	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		0	0				
209	战争学院BOSS9	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
210	战争学院BOSS10	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
211	战争学院BOSS11	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
212	战争学院BOSS12	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		60	80				
213	战争学院BOSS13	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
214	战争学院BOSS14	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
215	战争学院BOSS15	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
216	战争学院BOSS16	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
217	战争学院BOSS17	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
218	战争学院BOSS18	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
219	战争学院BOSS19	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
220	战争学院BOSS20	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
221	战争学院BOSS21	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
222	战争学院BOSS22	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
223	战争学院BOSS23	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
224	战争学院BOSS24	0	0	0	0	257	120	200	180	999999	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		90	120				
301	战争学院小怪1	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
302	战争学院小怪2	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
303	战争学院小怪3	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
304	战争学院小怪4	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
305	战争学院小怪5	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
306	战争学院小怪6	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
307	战争学院小怪7	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
308	战争学院小怪8	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
309	战争学院小怪9	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
310	战争学院小怪10	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
311	战争学院小怪11	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
312	战争学院小怪12	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
313	战争学院小怪13	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
314	战争学院小怪14	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
315	战争学院小怪15	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
316	战争学院小怪16	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
317	战争学院小怪17	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
318	战争学院小怪18	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
319	战争学院小怪19	0	0	0	0	257	120	50	180	2000	0	10000	0	0	0	0	50	50	50	0	0	0	0	0	0		70	100				
