等级（角色等级）	client_name	升星概率百分比{10,10,30,30,20}总和需等于100	可接取的日常任务[id,id,id]	prizeId[Prize_Id,Prize_Id,Prize_Id,Prize_Id,Prize_Id]
id	client_name	up_probo	task_ids	prize
1	1级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
2	2级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
3	3级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
4	4级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
5	5级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
6	6级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
7	7级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
8	8级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
9	9级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
10	10级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
11	11级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
12	12级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
13	13级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
14	14级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
15	15级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
16	16级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
17	17级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
18	18级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
19	19级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
20	20级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
21	31级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
22	22级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
23	23级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
24	24级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
25	25级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
26	26级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
27	27级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
28	28级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
29	29级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
30	30级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
31	31级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
32	32级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
33	33级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
34	34级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
35	35级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
36	36级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
37	37级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
38	38级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
39	39级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
40	40级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
41	41级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
42	42级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
43	43级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
44	44级玩家升星概率	[20,20,30,20,10]	[31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022]	[31001,31002,31003,31004,31005]
