ID	名称	等级下限	等级上限	结算奖励	竞猜奖励	扫荡奖励
id	client_name	lev_min	lev_max	complete_prize	guess_prize	sweep_prize
1	1到10级	1	10	45011	[45003,45004,45005,45006]	45011
2	11到20级	11	20	45011	[45003,45004,45005,45006]	45011
3	21到25级	21	25	45011	[45003,45004,45005,45006]	45011
4	26到30级	26	30	45011	[45003,45004,45005,45006]	45011
5	31到35级	31	35	45012	[45003,45004,45005,45006]	45012
6	36到40级	36	40	45012	[45003,45004,45005,45006]	45012
7	41到45级	41	45	45013	[45003,45004,45005,45006]	45013
8	46到50级	46	50	45013	[45003,45004,45005,45006]	45013
9	51到55级	51	55	45014	[45003,45004,45005,45006]	45014
10	56到60级	56	60	45014	[45003,45004,45005,45006]	45014
11	61到65级	61	65	45015	[45003,45004,45005,45006]	45015
12	66到70级	66	70	45015	[45003,45004,45005,45006]	45015
13	71到75级	71	75	45016	[45003,45004,45005,45006]	45016
14	76到80级	76	80	45016	[45003,45004,45005,45006]	45016
15	81到85级	81	85	45017	[45003,45004,45005,45006]	45017
16	86到90级	86	90	45017	[45003,45004,45005,45006]	45017
17	91到95级	91	95	45018	[45003,45004,45005,45006]	45018
18	96到100级	96	100	45018	[45003,45004,45005,45006]	45018
