装备类型*1000+装备等级[type：武器110以上（剑110），头盔101，衣服102，腰带103，裤子104，鞋子105，时装106，戒指107，徽章108，魂器109]由程序确定	client_name	cost（与装备等级相关，cost表ID）	继承概率，千分比[{降低数，概率}，...]，强化等级>2级才有效
id	client_name	cost	odds
110001	武器1级	3001	[{0,600},{-1,300},{-2,100}]
110010	武器10级	3002	[{0,600},{-1,300},{-2,100}]
110020	武器20级	3003	[{0,600},{-1,300},{-2,100}]
110030	武器30级	3004	[{0,600},{-1,300},{-2,100}]
110040	武器40级	3005	[{0,600},{-1,300},{-2,100}]
110050	武器50级	3006	[{0,600},{-1,300},{-2,100}]
110060	武器60级	3007	[{0,600},{-1,300},{-2,100}]
110070	武器70级	3008	[{0,600},{-1,300},{-2,100}]
110080	武器80级	3009	[{0,600},{-1,300},{-2,100}]
110090	武器90级	3010	[{0,600},{-1,300},{-2,100}]
110100	武器100级	3011	[{0,600},{-1,300},{-2,100}]
101001	头盔1级	3001	[{0,600},{-1,300},{-2,100}]
101010	头盔10级	3002	[{0,600},{-1,300},{-2,100}]
101020	头盔20级	3003	[{0,600},{-1,300},{-2,100}]
101030	头盔30级	3004	[{0,600},{-1,300},{-2,100}]
101040	头盔40级	3005	[{0,600},{-1,300},{-2,100}]
101050	头盔50级	3006	[{0,600},{-1,300},{-2,100}]
101060	头盔60级	3007	[{0,600},{-1,300},{-2,100}]
101070	头盔70级	3008	[{0,600},{-1,300},{-2,100}]
101080	头盔80级	3009	[{0,600},{-1,300},{-2,100}]
101090	头盔90级	3010	[{0,600},{-1,300},{-2,100}]
101100	头盔100级	3011	[{0,600},{-1,300},{-2,100}]
102001	衣服1级	3001	[{0,600},{-1,300},{-2,100}]
102010	衣服10级	3002	[{0,600},{-1,300},{-2,100}]
102020	衣服20级	3003	[{0,600},{-1,300},{-2,100}]
102030	衣服30级	3004	[{0,600},{-1,300},{-2,100}]
102040	衣服40级	3005	[{0,600},{-1,300},{-2,100}]
102050	衣服50级	3006	[{0,600},{-1,300},{-2,100}]
102060	衣服60级	3007	[{0,600},{-1,300},{-2,100}]
102070	衣服70级	3008	[{0,600},{-1,300},{-2,100}]
102080	衣服80级	3009	[{0,600},{-1,300},{-2,100}]
102090	衣服90级	3010	[{0,600},{-1,300},{-2,100}]
102100	衣服100级	3011	[{0,600},{-1,300},{-2,100}]
103001	腰带1级	3001	[{0,600},{-1,300},{-2,100}]
103010	腰带10级	3002	[{0,600},{-1,300},{-2,100}]
103020	腰带20级	3003	[{0,600},{-1,300},{-2,100}]
103030	腰带30级	3004	[{0,600},{-1,300},{-2,100}]
103040	腰带40级	3005	[{0,600},{-1,300},{-2,100}]
103050	腰带50级	3006	[{0,600},{-1,300},{-2,100}]
103060	腰带60级	3007	[{0,600},{-1,300},{-2,100}]
103070	腰带70级	3008	[{0,600},{-1,300},{-2,100}]
103080	腰带80级	3009	[{0,600},{-1,300},{-2,100}]
103090	腰带90级	3010	[{0,600},{-1,300},{-2,100}]
103100	腰带100级	3011	[{0,600},{-1,300},{-2,100}]
104001	裤子1级	3001	[{0,600},{-1,300},{-2,100}]
104010	裤子10级	3002	[{0,600},{-1,300},{-2,100}]
104020	裤子20级	3003	[{0,600},{-1,300},{-2,100}]
104030	裤子30级	3004	[{0,600},{-1,300},{-2,100}]
104040	裤子40级	3005	[{0,600},{-1,300},{-2,100}]
104050	裤子50级	3006	[{0,600},{-1,300},{-2,100}]
104060	裤子60级	3007	[{0,600},{-1,300},{-2,100}]
104070	裤子70级	3008	[{0,600},{-1,300},{-2,100}]
104080	裤子80级	3009	[{0,600},{-1,300},{-2,100}]
104090	裤子90级	3010	[{0,600},{-1,300},{-2,100}]
104100	裤子100级	3011	[{0,600},{-1,300},{-2,100}]
105001	鞋子1级	3001	[{0,600},{-1,300},{-2,100}]
105010	鞋子10级	3002	[{0,600},{-1,300},{-2,100}]
105020	鞋子20级	3003	[{0,600},{-1,300},{-2,100}]
105030	鞋子30级	3004	[{0,600},{-1,300},{-2,100}]
105040	鞋子40级	3005	[{0,600},{-1,300},{-2,100}]
105050	鞋子50级	3006	[{0,600},{-1,300},{-2,100}]
105060	鞋子60级	3007	[{0,600},{-1,300},{-2,100}]
105070	鞋子70级	3008	[{0,600},{-1,300},{-2,100}]
105080	鞋子80级	3009	[{0,600},{-1,300},{-2,100}]
105090	鞋子90级	3010	[{0,600},{-1,300},{-2,100}]
105100	鞋子100级	3011	[{0,600},{-1,300},{-2,100}]
107001	1级戒指装备	3001	[{0,600},{-1,300},{-2,100}]
107010	10级戒指装备	3002	[{0,600},{-1,300},{-2,100}]
107020	20级戒指装备	3003	[{0,600},{-1,300},{-2,100}]
107030	30级戒指装备	3004	[{0,600},{-1,300},{-2,100}]
107040	40级戒指装备	3005	[{0,600},{-1,300},{-2,100}]
107050	50级戒指装备	3006	[{0,600},{-1,300},{-2,100}]
107060	60级戒指装备	3007	[{0,600},{-1,300},{-2,100}]
107070	70级戒指装备	3008	[{0,600},{-1,300},{-2,100}]
107080	80级戒指装备	3009	[{0,600},{-1,300},{-2,100}]
107090	90级戒指装备	3010	[{0,600},{-1,300},{-2,100}]
107100	100级戒指装备	3011	[{0,600},{-1,300},{-2,100}]
