id	玩家贡献等级	类型	奖励
id	offer_lv	type	prize
1	1	1	[{3301,2}]
2	2	1	[{3301,2}]
3	2	2	[{1071,1}]
4	3	1	[{3301,2}]
5	3	2	[{1071,1}]
6	3	3	[{1051,1}]
7	4	1	[{3301,2}]
8	4	2	[{1071,1}]
9	4	3	[{1051,1}]
10	4	4	[{1061,1}]
11	5	1	[{3301,2}]
12	5	2	[{1071,1}]
13	5	3	[{1051,1}]
14	5	4	[{1061,1}]
15	5	5	[{1021,1}]
16	6	1	[{3301,2}]
17	6	2	[{1071,1}]
18	6	3	[{1051,1}]
19	6	4	[{1061,1}]
20	6	5	[{1021,1}]
21	6	6	[{1041,1}]
22	7	1	[{3301,2}]
23	7	2	[{1071,1}]
24	7	3	[{1051,1}]
25	7	4	[{1061,1}]
26	7	5	[{1021,1}]
27	7	6	[{1041,1}]
28	7	7	[{1001,1}]
29	8	1	[{3301,2}]
30	8	2	[{1071,1}]
31	8	3	[{1051,1}]
32	8	4	[{1061,1}]
33	8	5	[{1021,1}]
34	8	6	[{1041,1}]
35	8	7	[{1001,1}]
36	8	8	[{1011,1}]
37	9	1	[{3301,2}]
38	9	2	[{1071,1}]
39	9	3	[{1051,1}]
40	9	4	[{1061,1}]
41	9	5	[{1021,1}]
42	9	6	[{1041,1}]
43	9	7	[{1001,1}]
44	9	8	[{1011,1}]
45	9	9	[{1031,1}]
46	10	1	[{3301,3}]
47	10	2	[{1071,1}]
48	10	3	[{1051,1}]
49	10	4	[{1061,1}]
50	10	5	[{1021,1}]
51	10	6	[{1041,1}]
52	10	7	[{1001,1}]
53	10	8	[{1011,1}]
54	10	9	[{1031,1}]
55	11	1	[{3301,3}]
56	11	2	[{1071,2}]
57	11	3	[{1051,1}]
58	11	4	[{1061,1}]
59	11	5	[{1021,1}]
60	11	6	[{1041,1}]
61	11	7	[{1001,1}]
62	11	8	[{1011,1}]
63	11	9	[{1031,1}]
64	12	1	[{3301,3}]
65	12	2	[{1071,2}]
66	12	3	[{1051,2}]
67	12	4	[{1061,1}]
68	12	5	[{1021,1}]
69	12	6	[{1041,1}]
70	12	7	[{1001,1}]
71	12	8	[{1011,1}]
72	12	9	[{1031,1}]
73	13	1	[{3301,3}]
74	13	2	[{1071,2}]
75	13	3	[{1051,2}]
76	13	4	[{1061,2}]
77	13	5	[{1021,1}]
78	13	6	[{1041,1}]
79	13	7	[{1001,1}]
80	13	8	[{1011,1}]
81	13	9	[{1031,1}]
82	14	1	[{3301,3}]
83	14	2	[{1071,2}]
84	14	3	[{1051,2}]
85	14	4	[{1061,2}]
86	14	5	[{1021,2}]
87	14	6	[{1041,1}]
88	14	7	[{1001,1}]
89	14	8	[{1011,1}]
90	14	9	[{1031,1}]
91	15	1	[{3301,3}]
92	15	2	[{1071,2}]
93	15	3	[{1051,2}]
94	15	4	[{1061,2}]
95	15	5	[{1021,2}]
96	15	6	[{1041,2}]
97	15	7	[{1001,1}]
98	15	8	[{1011,1}]
99	15	9	[{1031,1}]
100	16	1	[{3301,3}]
101	16	2	[{1071,2}]
102	16	3	[{1051,2}]
103	16	4	[{1061,2}]
104	16	5	[{1021,2}]
105	16	6	[{1041,2}]
106	16	7	[{1001,2}]
107	16	8	[{1011,1}]
108	16	9	[{1031,1}]
109	17	1	[{3301,3}]
110	17	2	[{1071,2}]
111	17	3	[{1051,2}]
112	17	4	[{1061,2}]
113	17	5	[{1021,2}]
114	17	6	[{1041,2}]
115	17	7	[{1001,2}]
116	17	8	[{1011,2}]
117	17	9	[{1031,1}]
118	18	1	[{3301,3}]
119	18	2	[{1071,2}]
120	18	3	[{1051,2}]
121	18	4	[{1061,2}]
122	18	5	[{1021,2}]
123	18	6	[{1041,2}]
124	18	7	[{1001,2}]
125	18	8	[{1011,2}]
126	18	9	[{1031,2}]
127	19	1	[{3301,4}]
128	19	2	[{1071,2}]
129	19	3	[{1051,2}]
130	19	4	[{1061,2}]
131	19	5	[{1021,2}]
132	19	6	[{1041,2}]
133	19	7	[{1001,2}]
134	19	8	[{1011,2}]
135	19	9	[{1031,2}]
136	20	1	[{3301,5}]
137	20	2	[{1071,2}]
138	20	3	[{1051,2}]
139	20	4	[{1061,2}]
140	20	5	[{1021,2}]
141	20	6	[{1041,2}]
142	20	7	[{1001,2}]
143	20	8	[{1011,2}]
144	20	9	[{1031,2}]
