Id	奖池id	格子索引	奖励id	奖励数量	权值
id	nine_lottery_prize_id	grid_index	prize	prize_num	weight
1	1	1	282101	125	20
2	1	2	282102	125	20
3	1	3	282103	125	20
4	1	4	282104	125	20
5	1	5	282001	1	100000
6	1	6	282105	125	20
7	1	7	282106	125	20
8	1	8	282107	125	20
9	1	9	282108	125	20
10	2	1	282101	125	20
11	2	2	282102	125	20
12	2	3	282103	125	20
13	2	4	282104	125	20
14	2	5	282002	1	100000
15	2	6	282105	125	20
16	2	7	282106	125	20
17	2	8	282107	125	20
18	2	9	282108	125	20
19	3	1	282101	125	20
20	3	2	282102	125	20
21	3	3	282103	125	20
22	3	4	282104	125	20
23	3	5	282003	1	100000
24	3	6	282105	125	20
25	3	7	282106	125	20
26	3	8	282107	125	20
27	3	9	282108	125	20
28	4	1	282101	125	20
29	4	2	282102	125	20
30	4	3	282103	125	20
31	4	4	282104	125	20
32	4	5	282004	1	100000
33	4	6	282105	125	20
34	4	7	282106	125	20
35	4	8	282107	125	20
36	4	9	282108	125	20
37	5	1	282101	125	20
38	5	2	282102	125	20
39	5	3	282103	125	20
40	5	4	282104	125	20
41	5	5	282005	1	100000
42	5	6	282105	125	20
43	5	7	282106	125	20
44	5	8	282107	125	20
45	5	9	282108	125	20
46	6	1	282101	125	20
47	6	2	282102	125	20
48	6	3	282103	125	20
49	6	4	282104	125	20
50	6	5	282006	1	100000
51	6	6	282105	125	20
52	6	7	282106	125	20
53	6	8	282107	125	20
54	6	9	282108	125	20
55	7	1	282101	125	20
56	7	2	282102	125	20
57	7	3	282103	125	20
58	7	4	282104	125	20
59	7	5	282007	1	100000
60	7	6	282105	125	20
61	7	7	282106	125	20
62	7	8	282107	125	20
63	7	9	282108	125	20
64	8	1	282101	125	20
65	8	2	282102	125	20
66	8	3	282103	125	20
67	8	4	282104	125	20
68	8	5	282001	1	100000
69	8	6	282105	125	20
70	8	7	282106	125	20
71	8	8	282107	125	20
72	8	9	282108	125	20
73	9	1	282101	125	20
74	9	2	282102	125	20
75	9	3	282103	125	20
76	9	4	282104	125	20
77	9	5	282002	1	100000
78	9	6	282105	125	20
79	9	7	282106	125	20
80	9	8	282107	125	20
81	9	9	282108	125	20
82	10	1	282101	125	20
83	10	2	282102	125	20
84	10	3	282103	125	20
85	10	4	282104	125	20
86	10	5	282003	1	100000
87	10	6	282105	125	20
88	10	7	282106	125	20
89	10	8	282107	125	20
90	10	9	282108	125	20
91	11	1	282101	125	20
92	11	2	282102	125	20
93	11	3	282103	125	20
94	11	4	282104	125	20
95	11	5	282004	1	100000
96	11	6	282105	125	20
97	11	7	282106	125	20
98	11	8	282107	125	20
99	11	9	282108	125	20
100	12	1	282101	125	20
101	12	2	282102	125	20
102	12	3	282103	125	20
103	12	4	282104	125	20
104	12	5	282005	1	100000
105	12	6	282105	125	20
106	12	7	282106	125	20
107	12	8	282107	125	20
108	12	9	282108	125	20
109	13	1	282101	125	20
110	13	2	282102	125	20
111	13	3	282103	125	20
112	13	4	282104	125	20
113	13	5	282006	1	100000
114	13	6	282105	125	20
115	13	7	282106	125	20
116	13	8	282107	125	20
117	13	9	282108	125	20
118	14	1	282101	125	20
119	14	2	282102	125	20
120	14	3	282103	125	20
121	14	4	282104	125	20
122	14	5	282007	1	100000
123	14	6	282105	125	20
124	14	7	282106	125	20
125	14	8	282107	125	20
126	14	9	282108	125	20
127	15	1	282101	125	20
128	15	2	282102	125	20
129	15	3	282103	125	20
130	15	4	282104	125	20
131	15	5	282001	1	100000
132	15	6	282105	125	20
133	15	7	282106	125	20
134	15	8	282107	125	20
135	15	9	282108	125	20
136	16	1	282101	125	20
137	16	2	282102	125	20
138	16	3	282103	125	20
139	16	4	282104	125	20
140	16	5	282002	1	100000
141	16	6	282105	125	20
142	16	7	282106	125	20
143	16	8	282107	125	20
144	16	9	282108	125	20
145	17	1	282101	125	20
146	17	2	282102	125	20
147	17	3	282103	125	20
148	17	4	282104	125	20
149	17	5	282003	1	100000
150	17	6	282105	125	20
151	17	7	282106	125	20
152	17	8	282107	125	20
153	17	9	282108	125	20
154	18	1	282101	125	20
155	18	2	282102	125	20
156	18	3	282103	125	20
157	18	4	282104	125	20
158	18	5	282004	1	100000
159	18	6	282105	125	20
160	18	7	282106	125	20
161	18	8	282107	125	20
162	18	9	282108	125	20
163	19	1	282101	125	20
164	19	2	282102	125	20
165	19	3	282103	125	20
166	19	4	282104	125	20
167	19	5	282005	1	100000
168	19	6	282105	125	20
169	19	7	282106	125	20
170	19	8	282107	125	20
171	19	9	282108	125	20
172	20	1	282101	125	20
173	20	2	282102	125	20
174	20	3	282103	125	20
175	20	4	282104	125	20
176	20	5	282006	1	100000
177	20	6	282105	125	20
178	20	7	282106	125	20
179	20	8	282107	125	20
180	20	9	282108	125	20
181	21	1	282101	125	20
182	21	2	282102	125	20
183	21	3	282103	125	20
184	21	4	282104	125	20
185	21	5	282007	1	100000
186	21	6	282105	125	20
187	21	7	282106	125	20
188	21	8	282107	125	20
189	21	9	282108	125	20
190	22	1	282101	125	20
191	22	2	282102	125	20
192	22	3	282103	125	20
193	22	4	282104	125	20
194	22	5	282001	1	100000
195	22	6	282105	125	20
196	22	7	282106	125	20
197	22	8	282107	125	20
198	22	9	282108	125	20
199	23	1	282101	125	20
200	23	2	282102	125	20
201	23	3	282103	125	20
202	23	4	282104	125	20
203	23	5	282002	1	100000
204	23	6	282105	125	20
205	23	7	282106	125	20
206	23	8	282107	125	20
207	23	9	282108	125	20
208	24	1	282101	125	20
209	24	2	282102	125	20
210	24	3	282103	125	20
211	24	4	282104	125	20
212	24	5	282003	1	100000
213	24	6	282105	125	20
214	24	7	282106	125	20
215	24	8	282107	125	20
216	24	9	282108	125	20
217	25	1	282101	125	20
218	25	2	282102	125	20
219	25	3	282103	125	20
220	25	4	282104	125	20
221	25	5	282004	1	100000
222	25	6	282105	125	20
223	25	7	282106	125	20
224	25	8	282107	125	20
225	25	9	282108	125	20
226	26	1	282101	125	20
227	26	2	282102	125	20
228	26	3	282103	125	20
229	26	4	282104	125	20
230	26	5	282005	1	100000
231	26	6	282105	125	20
232	26	7	282106	125	20
233	26	8	282107	125	20
234	26	9	282108	125	20
235	27	1	282101	125	20
236	27	2	282102	125	20
237	27	3	282103	125	20
238	27	4	282104	125	20
239	27	5	282006	1	100000
240	27	6	282105	125	20
241	27	7	282106	125	20
242	27	8	282107	125	20
243	27	9	282108	125	20
244	28	1	282101	125	20
245	28	2	282102	125	20
246	28	3	282103	125	20
247	28	4	282104	125	20
248	28	5	282007	1	100000
249	28	6	282105	125	20
250	28	7	282106	125	20
251	28	8	282107	125	20
252	28	9	282108	125	20
253	29	1	282101	125	20
254	29	2	282102	125	20
255	29	3	282103	125	20
256	29	4	282104	125	20
257	29	5	282001	1	100000
258	29	6	282105	125	20
259	29	7	282106	125	20
260	29	8	282107	125	20
261	29	9	282108	125	20
262	30	1	282101	125	20
263	30	2	282102	125	20
264	30	3	282103	125	20
265	30	4	282104	125	20
266	30	5	282002	1	100000
267	30	6	282105	125	20
268	30	7	282106	125	20
269	30	8	282107	125	20
270	30	9	282108	125	20
271	31	1	282101	125	20
272	31	2	282102	125	20
273	31	3	282103	125	20
274	31	4	282104	125	20
275	31	5	282003	1	100000
276	31	6	282105	125	20
277	31	7	282106	125	20
278	31	8	282107	125	20
279	31	9	282108	125	20
280	32	1	282101	125	20
281	32	2	282102	125	20
282	32	3	282103	125	20
283	32	4	282104	125	20
284	32	5	282004	1	100000
285	32	6	282105	125	20
286	32	7	282106	125	20
287	32	8	282107	125	20
288	32	9	282108	125	20
289	33	1	282101	125	20
290	33	2	282102	125	20
291	33	3	282103	125	20
292	33	4	282104	125	20
293	33	5	282005	1	100000
294	33	6	282105	125	20
295	33	7	282106	125	20
296	33	8	282107	125	20
297	33	9	282108	125	20
298	34	1	282101	125	20
299	34	2	282102	125	20
300	34	3	282103	125	20
301	34	4	282104	125	20
302	34	5	282006	1	100000
303	34	6	282105	125	20
304	34	7	282106	125	20
305	34	8	282107	125	20
306	34	9	282108	125	20
307	35	1	282101	125	20
308	35	2	282102	125	20
309	35	3	282103	125	20
310	35	4	282104	125	20
311	35	5	282007	1	100000
312	35	6	282105	125	20
313	35	7	282106	125	20
314	35	8	282107	125	20
315	35	9	282108	125	20
316	36	1	282101	125	20
317	36	2	282102	125	20
318	36	3	282103	125	20
319	36	4	282104	125	20
320	36	5	282001	1	100000
321	36	6	282105	125	20
322	36	7	282106	125	20
323	36	8	282107	125	20
324	36	9	282108	125	20
325	37	1	282101	125	20
326	37	2	282102	125	20
327	37	3	282103	125	20
328	37	4	282104	125	20
329	37	5	282002	1	100000
330	37	6	282105	125	20
331	37	7	282106	125	20
332	37	8	282107	125	20
333	37	9	282108	125	20
334	38	1	282101	125	20
335	38	2	282102	125	20
336	38	3	282103	125	20
337	38	4	282104	125	20
338	38	5	282003	1	100000
339	38	6	282105	125	20
340	38	7	282106	125	20
341	38	8	282107	125	20
342	38	9	282108	125	20
343	39	1	282101	125	20
344	39	2	282102	125	20
345	39	3	282103	125	20
346	39	4	282104	125	20
347	39	5	282004	1	100000
348	39	6	282105	125	20
349	39	7	282106	125	20
350	39	8	282107	125	20
351	39	9	282108	125	20
352	40	1	282101	125	20
353	40	2	282102	125	20
354	40	3	282103	125	20
355	40	4	282104	125	20
356	40	5	282005	1	100000
357	40	6	282105	125	20
358	40	7	282106	125	20
359	40	8	282107	125	20
360	40	9	282108	125	20
361	41	1	282101	125	20
362	41	2	282102	125	20
363	41	3	282103	125	20
364	41	4	282104	125	20
365	41	5	282006	1	100000
366	41	6	282105	125	20
367	41	7	282106	125	20
368	41	8	282107	125	20
369	41	9	282108	125	20
370	42	1	282101	125	20
371	42	2	282102	125	20
372	42	3	282103	125	20
373	42	4	282104	125	20
374	42	5	282007	1	100000
375	42	6	282105	125	20
376	42	7	282106	125	20
377	42	8	282107	125	20
378	42	9	282108	125	20
379	43	1	282101	125	20
