精彩活动ID	活动名称	开放时间（配置 [0,0,0,0,0]时默认开服开放）	结束时间
id	client_name	open_time	close_time
1	开服狂欢	[0,0,0,0,0]	[2016,12,30,23,59]
2	赏金任务	[0,0,0,0,0]	[2016,12,30,23,59]
3	九宫格抽奖	[0,0,0,0,0]	[2016,12,30,23,59]
4	充值有礼	[0,0,0,0,0]	[2016,12,30,23,59]
5	开服冲榜	[0,0,0,0,0]	[2016,12,30,23,59]
6	战力排行榜	[0,0,0,0,0]	[2016,9,10,23,59]
7	坐骑排行榜	[0,0,0,0,0]	[2016,9,10,23,59]
8	宠物排行榜	[0,0,0,0,0]	[2016,9,10,23,59]
9	套装排行榜	[0,0,0,0,0]	[2016,9,10,23,59]
10	深渊排行榜	[0,0,0,0,0]	[2016,9,10,23,59]
11	公会排行榜	[0,0,0,0,0]	[2016,9,10,23,59]
