位置	滚轴1	滚轴2	滚轴3	滚轴4	滚轴5
pos	reel1	reel2	reel3	reel4	reel5
0	2	2	11	3	6
1	9	8	2	7	4
2	8	3	1	6	2
3	1	2	8	3	8
4	4	1	3	9	1
5	3	3	5	2	6
6	9	12	2	8	2
7	1	2	3	1	4
8	6	1	12	3	9
9	7	10	1	2	3
10	10	5	3	1	4
11	5	3	4	4	2
12	7	1	1	10	3
13	2	4	5	9	5
14	4	3	3	6	2
15	7	1	2	7	1
16	2	4	4	4	8
17	1	2	3	1	5
18	7	1	11	6	1
19	11	4	9	8	8
20	2	6	4	3	4
21	1	1	6	2	5
22	4	2	5	1	8
23	6	4	1	3	6
24	2	3	6	11	3
25	4	7	8	1	5
26	6	6	7	2	1
27	2	2	5	7	4
28	4	3	2	8	2
29	7	5	3	1	3
30	5	2	11	7	1
31	4	6	7	2	4
32	6	5	3	1	2
33	3	4	4	9	5
34	7	1	1	2	4
35	5	3	2	4	2
36	1	2	3	8	1
37	2	4	10	1	4
38	7	3	1	2	7
39	11	5	4	10	6
40	3	7	7	1	10
41	6	2	10	3	4
42	1	8	6	4	2
43	4	10	5	7	1
44	5	1	7	2	7
45	6	4	2	3	4
46	3	2	4	7	1
47	9	1	6	2	2
48	8	4	5	4	8
49	5	6	1	6	4
50	1	7	11	2	1
51	3	4	3	3	2
52	8	1	2	6	6
53	11	5	1	2	4
54	2	3	4	9	8
55	5	2	2	3	1
56	8	1	6	2	4
57	6	3	4	4	9
58	1	12	3	3	11
59	7	2	5	7	4
60	8	3	1	4	2
61	4	1	2	11	1
62	6	2	6	6	5
63	2	3	12	9	3
64	1	1	5	3	11
65	8	7	4	4	2
66	2	3	8	1	3
67	3	2	5	3	1
68	8	9	1	12	8
69	4	1	7	11	4
70	1	5	2	1	2
71	3	11	5	4	1
72	6	2	4	3	4
73	2	1	2	1	6
74	3	7	5	2	2
75	8	9	6	3	1
76	1	6	2	1	5
77	4	2	4	11	2
78	3	7	3	10	1
79	9	5	6	1	8
80	5	3	8	6	2
81	7	2	2	10	4
82	1	1	5	7	5
83	8	4	3	1	3
84	2	5	1	2	7
85	3	12	10	3	4
86	5	2	5	10	5
87	2	1	4	7	2
88	6	3	7	1	4
89	7	2	1	3	5
90	4	1	6	2	7
91	2	3	2	6	1
92	1	2	1	1	3
93	10	8	12	3	10
94	4	4	2	7	4
95	1	11	3	1	3
96	5	5	6	12	2
97	9	3	4	2	1
98	7	1	2	4	8
99	5	6	3	9	5
