id	等级	升级经验	升级消耗{costid，经验}	阶数	进阶消耗costid	升级增加属性	进阶属性	形象id	吐出的奖励id	吐出的cd秒}	每天喷吐次数	获得愉悦值（costid，最小值，最大值）
id	level	exp	get_exp	grade	grade_cost	attr	grade_attr	form_id	out_pirce	out_cd	out_num	get_happy
1	1	116	{13100,100}			[{19,4},{11,10},{23,4},{21,4},{22,4},{29,4}]		1	170001	21600	3	{13300,3,7}
2	2	164	{13100,100}			[{19,7},{11,20},{23,7},{21,7},{22,7},{29,7}]		1	170001	21600	3	{13300,3,7}
3	3	244	{13100,100}			[{19,10},{11,30},{23,10},{21,10},{22,10},{29,10}]		1	170001	21600	3	{13300,3,7}
4	4	356	{13100,100}			[{19,13},{11,40},{23,13},{21,13},{22,13},{29,13}]		1	170001	21600	3	{13300,3,7}
5	5	500	{13100,100}			[{19,16},{11,50},{23,16},{21,16},{22,16},{29,16}]		1	170001	21600	3	{13300,3,7}
6	6	676	{13100,100}			[{19,19},{11,60},{23,19},{21,19},{22,19},{29,19}]		1	170001	21600	3	{13300,3,7}
7	7	884	{13100,100}			[{19,22},{11,70},{23,22},{21,22},{22,22},{29,22}]		1	170001	21600	3	{13300,3,7}
8	8	1124	{13100,100}			[{19,25},{11,80},{23,25},{21,25},{22,25},{29,25}]		1	170001	21600	3	{13300,3,7}
9	9	1396	{13100,100}			[{19,28},{11,90},{23,28},{21,28},{22,28},{29,28}]		1	170001	21600	3	{13300,3,7}
10	10	1700	{13100,100}	1	13201	[{19,31},{11,100},{23,31},{21,31},{22,31},{29,31}]	[{19,6},{11,50},{23,6},{21,6},{22,6},{29,6}]	1	170001	21600	3	{13300,3,7}
11	11	2036	{13100,100}			[{19,35},{11,110},{23,35},{21,35},{22,35},{29,35}]		1	170002	21600	3	{13300,3,7}
12	12	2404	{13100,100}			[{19,39},{11,120},{23,39},{21,39},{22,39},{29,39}]		1	170002	21600	3	{13300,3,7}
13	13	2804	{13100,100}			[{19,43},{11,130},{23,43},{21,43},{22,43},{29,43}]		1	170002	21600	3	{13300,3,7}
14	14	3236	{13100,100}			[{19,47},{11,140},{23,47},{21,47},{22,47},{29,47}]		1	170002	21600	3	{13300,3,7}
15	15	3700	{13100,100}			[{19,51},{11,150},{23,51},{21,51},{22,51},{29,51}]		1	170002	21600	3	{13300,3,7}
16	16	4196	{13100,100}			[{19,55},{11,160},{23,55},{21,55},{22,55},{29,55}]		1	170002	21600	3	{13300,3,7}
17	17	4724	{13100,100}			[{19,59},{11,170},{23,59},{21,59},{22,59},{29,59}]		1	170002	21600	3	{13300,3,7}
18	18	5284	{13100,100}			[{19,63},{11,180},{23,63},{21,63},{22,63},{29,63}]		1	170002	21600	3	{13300,3,7}
19	19	5876	{13100,100}			[{19,67},{11,190},{23,67},{21,67},{22,67},{29,67}]		1	170002	21600	3	{13300,3,7}
20	20	6500	{13100,100}	2	13202	[{19,71},{11,200},{23,71},{21,71},{22,71},{29,71}]	[{19,14},{11,100},{23,14},{21,14},{22,14},{29,14}]	1	170002	21600	3	{13300,3,7}
21	21	7156	{13100,100}			[{19,76},{11,210},{23,76},{21,76},{22,76},{29,76}]		2	170003	21600	3	{13300,3,7}
22	22	7844	{13100,100}			[{19,81},{11,220},{23,81},{21,81},{22,81},{29,81}]		2	170003	21600	3	{13300,3,7}
23	23	8564	{13100,100}			[{19,86},{11,230},{23,86},{21,86},{22,86},{29,86}]		2	170003	21600	3	{13300,3,7}
24	24	9316	{13100,100}			[{19,91},{11,240},{23,91},{21,91},{22,91},{29,91}]		2	170003	21600	3	{13300,3,7}
25	25	10100	{13100,100}			[{19,96},{11,250},{23,96},{21,96},{22,96},{29,96}]		2	170003	21600	3	{13300,3,7}
26	26	10916	{13100,100}			[{19,101},{11,260},{23,101},{21,101},{22,101},{29,101}]		2	170003	21600	3	{13300,3,7}
27	27	11764	{13100,100}			[{19,106},{11,270},{23,106},{21,106},{22,106},{29,106}]		2	170003	21600	3	{13300,3,7}
28	28	12644	{13100,100}			[{19,111},{11,280},{23,111},{21,111},{22,111},{29,111}]		2	170003	21600	3	{13300,3,7}
29	29	13556	{13100,100}			[{19,116},{11,290},{23,116},{21,116},{22,116},{29,116}]		2	170003	21600	3	{13300,3,7}
30	30	14500	{13100,100}	3	13203	[{19,121},{11,300},{23,121},{21,121},{22,121},{29,121}]	[{19,24},{11,150},{23,24},{21,24},{22,24},{29,24}]	2	170003	21600	3	{13300,3,7}
31	31	15476	{13100,100}			[{19,127},{11,310},{23,127},{21,127},{22,127},{29,127}]		2	170004	21600	3	{13300,3,7}
32	32	16484	{13100,100}			[{19,133},{11,320},{23,133},{21,133},{22,133},{29,133}]		2	170004	21600	3	{13300,3,7}
33	33	17524	{13100,100}			[{19,139},{11,330},{23,139},{21,139},{22,139},{29,139}]		2	170004	21600	3	{13300,3,7}
34	34	18596	{13100,100}			[{19,145},{11,340},{23,145},{21,145},{22,145},{29,145}]		2	170004	21600	3	{13300,3,7}
35	35	19700	{13100,100}			[{19,151},{11,350},{23,151},{21,151},{22,151},{29,151}]		2	170004	21600	3	{13300,3,7}
36	36	20836	{13100,100}			[{19,157},{11,360},{23,157},{21,157},{22,157},{29,157}]		2	170004	21600	3	{13300,3,7}
37	37	22004	{13100,100}			[{19,163},{11,370},{23,163},{21,163},{22,163},{29,163}]		2	170004	21600	3	{13300,3,7}
38	38	23204	{13100,100}			[{19,169},{11,380},{23,169},{21,169},{22,169},{29,169}]		2	170004	21600	3	{13300,3,7}
39	39	24436	{13100,100}			[{19,175},{11,390},{23,175},{21,175},{22,175},{29,175}]		2	170004	21600	3	{13300,3,7}
40	40	25700	{13100,100}	4	13204	[{19,181},{11,400},{23,181},{21,181},{22,181},{29,181}]	[{19,36},{11,200},{23,36},{21,36},{22,36},{29,36}]	2	170004	21600	3	{13300,3,7}
41	41	26996	{13100,100}			[{19,188},{11,410},{23,188},{21,188},{22,188},{29,188}]		3	170005	21600	3	{13300,3,7}
42	42	28324	{13100,100}			[{19,195},{11,420},{23,195},{21,195},{22,195},{29,195}]		3	170005	21600	3	{13300,3,7}
43	43	29684	{13100,100}			[{19,202},{11,430},{23,202},{21,202},{22,202},{29,202}]		3	170005	21600	3	{13300,3,7}
44	44	31076	{13100,100}			[{19,209},{11,440},{23,209},{21,209},{22,209},{29,209}]		3	170005	21600	3	{13300,3,7}
45	45	32500	{13100,100}			[{19,216},{11,450},{23,216},{21,216},{22,216},{29,216}]		3	170005	21600	3	{13300,3,7}
46	46	33956	{13100,100}			[{19,219},{11,460},{23,223},{21,223},{22,223},{29,223}]		3	170005	21600	3	{13300,3,7}
47	47	35444	{13100,100}			[{19,190},{11,470},{23,230},{21,230},{22,230},{29,230}]		3	170005	21600	3	{13300,3,7}
48	48	36964	{13100,100}			[{19,197},{11,480},{23,237},{21,237},{22,237},{29,237}]		3	170005	21600	3	{13300,3,7}
49	49	38516	{13100,100}			[{19,244},{11,490},{23,244},{21,244},{22,244},{29,244}]		3	170005	21600	3	{13300,3,7}
50	50	40100	{13100,100}	5	13205	[{19,251},{11,500},{23,251},{21,251},{22,251},{29,251}]	[{19,50},{11,250},{23,50},{21,50},{22,50},{29,50}]	3	170005	21600	3	{13300,3,7}
51	51	41716	{13100,100}			[{19,259},{11,510},{23,259},{21,259},{22,259},{29,259}]		3	170006	21600	3	{13300,3,7}
52	52	43364	{13100,100}			[{19,267},{11,520},{23,267},{21,267},{22,267},{29,267}]		3	170006	21600	3	{13300,3,7}
53	53	45044	{13100,100}			[{19,275},{11,530},{23,275},{21,275},{22,275},{29,275}]		3	170006	21600	3	{13300,3,7}
54	54	46756	{13100,100}			[{19,283},{11,540},{23,283},{21,283},{22,283},{29,283}]		3	170006	21600	3	{13300,3,7}
