ID为绿装id	套装名	套装部位	随机生成附魔材料次数	装备品质（装备品质，{道具ID，权值}）	产出套装碎片最小值，最大值，种类	分解消费
id	client_name	type	num	quality	suipian	cost
111000103	大天使的惩戒者	110	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17001}	16001
911000111	大天使的惩戒者	110	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17001}	16001
911001011	大天使的惩戒者	110	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17001}	16001
911002011	大天使的惩戒者	110	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17001}	16001
911003011	大天使的惩戒者	110	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17001}	16001
911004011	大天使的惩戒者	110	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17001}	16001
911005011	大天使的惩戒者	110	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17001}	16001
911006011	大天使的惩戒者	110	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17001}	16001
911007011	大天使的惩戒者	110	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17001}	16001
911008011	大天使的惩戒者	110	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17001}	16001
911009011	大天使的惩戒者	110	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17001}	16001
911010011	大天使的惩戒者	110	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17001}	16001
910100111	大天使的梦魇	101	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17001}	16001
910101011	大天使的梦魇	101	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17001}	16001
910102011	大天使的梦魇	101	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17001}	16001
910103011	大天使的梦魇	101	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17001}	16001
910104011	大天使的梦魇	101	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17001}	16001
910105011	大天使的梦魇	101	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17001}	16001
910106011	大天使的梦魇	101	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17001}	16001
910107011	大天使的梦魇	101	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17001}	16001
910108011	大天使的梦魇	101	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17001}	16001
910109011	大天使的梦魇	101	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17001}	16001
910110011	大天使的梦魇	101	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17001}	16001
910200111	大天使的守护者	102	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17001}	16001
910201011	大天使的守护者	102	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17001}	16001
910202011	大天使的守护者	102	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17001}	16001
910203011	大天使的守护者	102	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17001}	16001
910204011	大天使的守护者	102	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17001}	16001
910205011	大天使的守护者	102	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17001}	16001
910206011	大天使的守护者	102	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17001}	16001
910207011	大天使的守护者	102	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17001}	16001
910208011	大天使的守护者	102	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17001}	16001
910209011	大天使的守护者	102	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17001}	16001
910210011	大天使的守护者	102	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17001}	16001
910300111	大天使的束缚	103	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17001}	16001
910301011	大天使的束缚	103	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17001}	16001
910302011	大天使的束缚	103	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17001}	16001
910303011	大天使的束缚	103	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17001}	16001
910304011	大天使的束缚	103	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17001}	16001
910305011	大天使的束缚	103	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17001}	16001
910306011	大天使的束缚	103	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17001}	16001
910307011	大天使的束缚	103	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17001}	16001
910308011	大天使的束缚	103	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17001}	16001
910309011	大天使的束缚	103	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17001}	16001
910310011	大天使的束缚	103	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17001}	16001
910400111	大天使的腿甲	104	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17001}	16001
