id	名称	玩家排名（0表示100名以后）	怪物榜排名奖励	宝箱排名奖励	勇士排名奖励
id	client_name	rank	monster_prize	box_prize	warrior_prize
1	排名1	1	40001	40001	40001
2	排名2	2	40001	40001	40001
3	排名3	3	40001	40001	40001
4	排名4	4	40001	40001	40001
5	排名5	5	40001	40001	40001
6	排名6	6	40001	40001	40001
7	排名7	7	40001	40001	40001
8	排名8	8	40001	40001	40001
9	排名9	9	40001	40001	40001
10	排名10	10	40001	40001	40001
11	排名11	11	40001	40001	40001
12	排名12	12	40001	40001	40001
13	排名13	13	40001	40001	40001
14	排名14	14	40001	40001	40001
15	排名15	15	40001	40001	40001
16	排名16	16	40001	40001	40001
17	排名17	17	40001	40001	40001
18	排名18	18	40001	40001	40001
19	排名19	19	40001	40001	40001
20	排名20	20	40001	40001	40001
21	排名21	21	40001	40001	40001
22	排名22	22	40001	40001	40001
23	排名23	23	40001	40001	40001
24	排名24	24	40001	40001	40001
25	排名25	25	40001	40001	40001
26	排名26	26	40001	40001	40001
27	排名27	27	40001	40001	40001
28	排名28	28	40001	40001	40001
29	排名29	29	40001	40001	40001
30	排名30	30	40001	40001	40001
31	排名31	31	40001	40001	40001
32	排名32	32	40001	40001	40001
33	排名33	33	40001	40001	40001
34	排名34	34	40001	40001	40001
35	排名35	35	40001	40001	40001
36	排名36	36	40001	40001	40001
37	排名37	37	40001	40001	40001
38	排名38	38	40001	40001	40001
39	排名39	39	40001	40001	40001
40	排名40	40	40001	40001	40001
41	排名41	41	40001	40001	40001
42	排名42	42	40001	40001	40001
43	排名43	43	40001	40001	40001
44	排名44	44	40001	40001	40001
45	排名45	45	40001	40001	40001
46	排名46	46	40001	40001	40001
47	排名47	47	40001	40001	40001
48	排名48	48	40001	40001	40001
49	排名49	49	40001	40001	40001
50	排名50	50	40001	40001	40001
51	排名51	51	40001	40001	40001
52	排名52	52	40001	40001	40001
53	排名53	53	40001	40001	40001
54	排名54	54	40001	40001	40001
55	排名55	55	40001	40001	40001
56	排名56	56	40001	40001	40001
57	排名57	57	40001	40001	40001
58	排名58	58	40001	40001	40001
59	排名59	59	40001	40001	40001
60	排名60	60	40001	40001	40001
61	排名61	61	40001	40001	40001
62	排名62	62	40001	40001	40001
63	排名63	63	40001	40001	40001
64	排名64	64	40001	40001	40001
65	排名65	65	40001	40001	40001
66	排名66	66	40001	40001	40001
67	排名67	67	40001	40001	40001
68	排名68	68	40001	40001	40001
69	排名69	69	40001	40001	40001
70	排名70	70	40001	40001	40001
71	排名71	71	40001	40001	40001
72	排名72	72	40001	40001	40001
73	排名73	73	40001	40001	40001
74	排名74	74	40001	40001	40001
75	排名75	75	40001	40001	40001
76	排名76	76	40001	40001	40001
77	排名77	77	40001	40001	40001
78	排名78	78	40001	40001	40001
79	排名79	79	40001	40001	40001
80	排名80	80	40001	40001	40001
81	排名81	81	40001	40001	40001
82	排名82	82	40001	40001	40001
83	排名83	83	40001	40001	40001
84	排名84	84	40001	40001	40001
85	排名85	85	40001	40001	40001
86	排名86	86	40001	40001	40001
87	排名87	87	40001	40001	40001
88	排名88	88	40001	40001	40001
89	排名89	89	40001	40001	40001
90	排名90	90	40001	40001	40001
91	排名91	91	40001	40001	40001
92	排名92	92	40001	40001	40001
93	排名93	93	40001	40001	40001
94	排名94	94	40001	40001	40001
95	排名95	95	40001	40001	40001
96	排名96	96	40001	40001	40001
97	排名97	97	40001	40001	40001
98	排名98	98	40001	40001	40001
99	排名99	99	40001	40001	40001
100	排名100	100	40001	40001	40001
101	100名以后	0	40001	40001	40001
