id	关联皇冠技能id		描述	技能等级	修改集id（skill_modify表的id）	技能id（取第一段段名）	激活消耗
id	crown_skill_id	client_name	client_describe	level	skill_modify_id	skill_id	cost
1	1001	冰火龙卷	在角色面前生成两个互相环绕旋转的龙卷风，持续5秒；对其中的敌人造成冰与火复合属性伤害	0			1
2	1001	冰火龙卷	在角色面前生成两个互相环绕旋转的龙卷风，持续5秒；对其中的敌人造成冰与火复合属性伤害	1	51001	4000021	7001
3	1001	冰火龙卷	在角色面前生成两个互相环绕旋转的龙卷风，持续5秒；对其中的敌人造成冰与火复合属性伤害	2	51002	4000021	7002
4	1001	冰火龙卷	在角色面前生成两个互相环绕旋转的龙卷风，持续5秒；对其中的敌人造成冰与火复合属性伤害	3	51003	4000021	7003
5	1001	冰火龙卷	在角色面前生成两个互相环绕旋转的龙卷风，持续5秒；对其中的敌人造成冰与火复合属性伤害	4	51004	4000021	7004
6	1001	冰火龙卷	在角色面前生成两个互相环绕旋转的龙卷风，持续5秒；对其中的敌人造成冰与火复合属性伤害	5	51005	4000021	7005
7	1001	冰火龙卷	在角色面前生成两个互相环绕旋转的龙卷风，持续5秒；对其中的敌人造成冰与火复合属性伤害	6	51006	4000021	7006
8	1301	攻击	增加攻击力	0			1
9	1301	攻击	增加攻击力#u#10点	1	51101		7011
10	1301	攻击	增加攻击力#u#20点	2	51102		7012
11	1301	攻击	增加攻击力#u#30点	3	51103		7013
12	1301	攻击	增加攻击力#u#40点	4	51104		7014
13	1301	攻击	增加攻击力#u#50点	5	51105		7015
14	1301	攻击	增加攻击力#u#60点	6	51106		7016
15	1201	生命	增加生命值#u#	0			1
16	1201	生命	增加生命值#u#50点	1	51201		7021
17	1201	生命	增加生命值#u#60点	2	51202		7022
18	1201	生命	增加生命值#u#70点	3	51203		7023
19	1201	生命	增加生命值#u#80点	4	51204		7024
20	1201	生命	增加生命值#u#90点	5	51205		7025
21	1201	生命	增加生命值#u#100点	6	51206		7026
22	1002	持续动力	魔法值的回复速度增加	0			1
23	1002	持续动力	魔法值的回复速度增加每5秒回复#u#5点魔法值	1	52001		7031
24	1002	持续动力	魔法值的回复速度增加每5秒回复#u#6点魔法值	2	52002		7032
25	1002	持续动力	魔法值的回复速度增加每5秒回复#u#7点魔法值	3	52003		7033
26	1002	持续动力	魔法值的回复速度增加每5秒回复#u#8点魔法值	4	52004		7034
27	1002	持续动力	魔法值的回复速度增加每5秒回复#u#9点魔法值	5	52005		7035
28	1002	持续动力	魔法值的回复速度增加每5秒回复#u#10点魔法值	6	52006		7036
29	1302	魔力	增加魔力上限	0			1
30	1302	魔力	增加魔力上限#u#10点	1	52101		7041
31	1302	魔力	增加魔力上限#u#20点	2	52102		7042
32	1302	魔力	增加魔力上限#u#30点	3	52103		7043
33	1302	魔力	增加魔力上限#u#40点	4	52104		7044
34	1302	魔力	增加魔力上限#u#50点	5	52105		7045
35	1302	魔力	增加魔力上限#u#60点	6	52106		7046
36	1202	防御	增加防御力	0			1
37	1202	防御	增加防御力#u#10点	1	52201		7051
38	1202	防御	增加防御力#u#20点	2	52202		7052
39	1202	防御	增加防御力#u#30点	3	52203		7053
40	1202	防御	增加防御力#u#40点	4	52204		7054
41	1202	防御	增加防御力#u#50点	5	52205		7055
42	1202	防御	增加防御力#u#60点	6	52206		7056
43	1003	轻型护甲	防御力提升	0			1
44	1003	轻型护甲	防御力提升#u#100点	1	53001		7061
45	1003	轻型护甲	防御力提升#u#150点	2	53002		7062
46	1003	轻型护甲	防御力提升#u#200点	3	53003		7063
47	1003	轻型护甲	防御力提升#u#250点	4	53004		7064
48	1003	轻型护甲	防御力提升#u#300点	5	53005		7065
49	1003	轻型护甲	防御力提升#u#350点	6	53006		7066
50	1303	暴击	增加暴击值	0			1
