转盘奖励ID	天数(0为永久循环，1-7为每周循环）	玩家等级(配置等级段）	随机奖励（rand_prize表ID）
id	day	level	rand_prize_id
1	1	[1,10]	20001
2	1	[11,20]	20002
3	1	[21,30]	20003
4	1	[31,40]	20004
5	1	[41,50]	20005
6	1	[51,60]	20006
7	1	[61,70]	20007
8	1	[71,80]	20008
9	1	[81,90]	20009
10	1	[91,100]	20010
11	2	[1,10]	20101
12	2	[11,20]	20102
13	2	[21,30]	20103
14	2	[31,40]	20104
15	2	[41,50]	20105
16	2	[51,60]	20106
17	2	[61,70]	20107
18	2	[71,80]	20108
19	2	[81,90]	20109
20	2	[91,100]	20110
21	3	[1,10]	20201
22	3	[11,20]	20202
23	3	[21,30]	20203
24	3	[31,40]	20204
25	3	[41,50]	20205
26	3	[51,60]	20206
27	3	[61,70]	20207
28	3	[71,80]	20208
29	3	[81,90]	20209
30	3	[91,100]	20210
31	4	[1,10]	20301
32	4	[11,20]	20302
33	4	[21,30]	20303
34	4	[31,40]	20304
35	4	[41,50]	20305
36	4	[51,60]	20306
37	4	[61,70]	20307
38	4	[71,80]	20308
39	4	[81,90]	20309
40	4	[91,100]	20310
41	5	[1,10]	20401
42	5	[11,20]	20402
43	5	[21,30]	20403
44	5	[31,40]	20404
45	5	[41,50]	20405
46	5	[51,60]	20406
47	5	[61,70]	20407
48	5	[71,80]	20408
49	5	[81,90]	20409
50	5	[91,100]	20410
51	6	[1,10]	20501
52	6	[11,20]	20502
53	6	[21,30]	20503
54	6	[31,40]	20504
55	6	[41,50]	20505
56	6	[51,60]	20506
57	6	[61,70]	20507
58	6	[71,80]	20508
59	6	[81,90]	20509
60	6	[91,100]	20510
61	7	[1,10]	20601
62	7	[11,20]	20602
63	7	[21,30]	20603
64	7	[31,40]	20604
65	7	[41,50]	20605
66	7	[51,60]	20606
67	7	[61,70]	20607
68	7	[71,80]	20608
69	7	[81,90]	20609
70	7	[91,100]	20610
