id	client_name	部位id(武器110以上(剑110)，头盔101，衣服102，腰带103，裤子104，鞋子105，时装106，戒指107，徽章108，魂器109,装备类型必须大于100,因为物品类型小于100)	角色id	强化等级	强化获得属性AttrId（当前等级对应属性的绝对值，非累加）	附加属性	[{下降等级,百分比}]	消耗id	武器强化特效，[]是equip_effect表ID
id	client_name	part	role_id	qh_level	attr	extra_attr	failed_down	cost	improve_effect
10110000	战士武器强化0	110	1	0	10110000		[{0,100}]	1	
10110001	战士武器强化1	110	1	1	10110001		[{0,100}]	1001	[2]
10110002	战士武器强化2	110	1	2	10110002		[{0,100}]	1002	[2]
10110003	战士武器强化3	110	1	3	10110003		[{0,100}]	1003	[2]
10110004	战士武器强化4	110	1	4	10110004		[{0,100}]	1004	[2]
10110005	战士武器强化5	110	1	5	10110005		[{0,100}]	1005	[2]
10110006	战士武器强化6	110	1	6	10110006		[{0,100}]	1006	[2]
10110007	战士武器强化7	110	1	7	10110007		[{0,100}]	1007	[2]
10110008	战士武器强化8	110	1	8	10110008		[{0,100}]	1008	[2]
10110009	战士武器强化9	110	1	9	10110009		[{0,100}]	1009	[2]
10110010	战士武器强化10	110	1	10	10110010		[{0,100}]	1010	[2,3]
10110011	战士武器强化11	110	1	11	10110011		[{0,100}]	1011	[2,3]
10110012	战士武器强化12	110	1	12	10110012		[{0,100}]	1012	[2,3]
10110013	战士武器强化13	110	1	13	10110013		[{0,100}]	1013	[2,3]
10110014	战士武器强化14	110	1	14	10110014		[{0,100}]	1014	[2,3]
10110015	战士武器强化15	110	1	15	10110015		[{0,100}]	1015	[2,3]
10110016	战士武器强化16	110	1	16	10110016		[{0,100}]	1016	[2,3]
10110017	战士武器强化17	110	1	17	10110017		[{0,100}]	1017	[2,3]
10110018	战士武器强化18	110	1	18	10110018		[{0,100}]	1018	[2,3]
10110019	战士武器强化19	110	1	19	10110019		[{0,100}]	1019	[2,3]
10110020	战士武器强化20	110	1	20	10110020		[{0,100}]	1020	[2,4]
10110021	战士武器强化21	110	1	21	10110021		[{0,100}]	1021	[2,4]
10110022	战士武器强化22	110	1	22	10110022		[{0,100}]	1022	[2,4]
10110023	战士武器强化23	110	1	23	10110023		[{0,100}]	1023	[2,4]
10110024	战士武器强化24	110	1	24	10110024		[{0,100}]	1024	[2,4]
10110025	战士武器强化25	110	1	25	10110025		[{0,100}]	1025	[2,4]
10110026	战士武器强化26	110	1	26	10110026		[{0,100}]	1026	[2,4]
10110027	战士武器强化27	110	1	27	10110027		[{0,100}]	1027	[2,4]
10110028	战士武器强化28	110	1	28	10110028		[{0,100}]	1028	[2,4]
10110029	战士武器强化29	110	1	29	10110029		[{0,100}]	1029	[2,4]
10110030	战士武器强化30	110	1	30	10110030		[{0,100}]	1030	[2,5]
10110031	战士武器强化31	110	1	31	10110031		[{0,100}]	1031	[2,5]
10110032	战士武器强化32	110	1	32	10110032		[{0,100}]	1032	[2,5]
10110033	战士武器强化33	110	1	33	10110033		[{0,100}]	1033	[2,5]
10110034	战士武器强化34	110	1	34	10110034		[{0,100}]	1034	[2,5]
10110035	战士武器强化35	110	1	35	10110035		[{0,100}]	1035	[2,5]
10110036	战士武器强化36	110	1	36	10110036		[{0,100}]	1036	[2,5]
10110037	战士武器强化37	110	1	37	10110037		[{0,100}]	1037	[2,5]
10110038	战士武器强化38	110	1	38	10110038		[{0,100}]	1038	[2,5]
10110039	战士武器强化39	110	1	39	10110039		[{0,100}]	1039	[2,5]
10110040	战士武器强化40	110	1	40	10110040		[{0,100}]	1040	[2,6]
10110041	战士武器强化41	110	1	41	10110041		[{0,100}]	1041	[2,6]
10110042	战士武器强化42	110	1	42	10110042		[{0,100}]	1042	[2,6]
10110043	战士武器强化43	110	1	43	10110043		[{0,100}]	1043	[2,6]
10110044	战士武器强化44	110	1	44	10110044		[{0,100}]	1044	[2,6]
10110045	战士武器强化45	110	1	45	10110045		[{0,100}]	1045	[2,6]
10110046	战士武器强化46	110	1	46	10110046		[{0,100}]	1046	[2,6]
10110047	战士武器强化47	110	1	47	10110047		[{0,100}]	1047	[2,6]
10110048	战士武器强化48	110	1	48	10110048		[{0,100}]	1048	[2,6]
10110049	战士武器强化49	110	1	49	10110049		[{0,100}]	1049	[2,6]
10110050	战士武器强化50	110	1	50	10110050		[{0,100}]	1050	[2,7]
10110051	战士武器强化51	110	1	51	10110051		[{0,100}]	1051	[2,7]
10110052	战士武器强化52	110	1	52	10110052		[{0,100}]	1052	[2,7]
10110053	战士武器强化53	110	1	53	10110053		[{0,100}]	1053	[2,7]
10110054	战士武器强化54	110	1	54	10110054		[{0,100}]	1054	[2,7]
10110055	战士武器强化55	110	1	55	10110055		[{0,100}]	1055	[2,7]
10110056	战士武器强化56	110	1	56	10110056		[{0,100}]	1056	[2,7]
10110057	战士武器强化57	110	1	57	10110057		[{0,100}]	1057	[2,7]
10110058	战士武器强化58	110	1	58	10110058		[{0,100}]	1058	[2,7]
10110059	战士武器强化59	110	1	59	10110059		[{0,100}]	1059	[2,7]
10110060	战士武器强化60	110	1	60	10110060		[{0,100}]	1060	[2,7]
10110061	战士武器强化61	110	1	61	10110061		[{0,100}]	1061	[2,7]
10110062	战士武器强化62	110	1	62	10110062		[{0,100}]	1062	[2,7]
10110063	战士武器强化63	110	1	63	10110063		[{0,100}]	1063	[2,7]
10110064	战士武器强化64	110	1	64	10110064		[{0,100}]	1064	[2,7]
10110065	战士武器强化65	110	1	65	10110065		[{0,100}]	1065	[2,7]
10110066	战士武器强化66	110	1	66	10110066		[{0,100}]	1066	[2,7]
10110067	战士武器强化67	110	1	67	10110067		[{0,100}]	1067	[2,7]
10110068	战士武器强化68	110	1	68	10110068		[{0,100}]	1068	[2,7]
10110069	战士武器强化69	110	1	69	10110069		[{0,100}]	1069	[2,7]
10110070	战士武器强化70	110	1	70	10110070		[{0,100}]	1070	[2,7]
10110071	战士武器强化71	110	1	71	10110071		[{0,100}]	1071	[2,7]
10110072	战士武器强化72	110	1	72	10110072		[{0,100}]	1072	[2,7]
10110073	战士武器强化73	110	1	73	10110073		[{0,100}]	1073	[2,7]
10110074	战士武器强化74	110	1	74	10110074		[{0,100}]	1074	[2,7]
10110075	战士武器强化75	110	1	75	10110075		[{0,100}]	1075	[2,7]
10110076	战士武器强化76	110	1	76	10110076		[{0,100}]	1076	[2,7]
10110077	战士武器强化77	110	1	77	10110077		[{0,100}]	1077	[2,7]
10110078	战士武器强化78	110	1	78	10110078		[{0,100}]	1078	[2,7]
10110079	战士武器强化79	110	1	79	10110079		[{0,100}]	1079	[2,7]
10110080	战士武器强化80	110	1	80	10110080		[{0,100}]	1080	[2,7]
10110081	战士武器强化81	110	1	81	10110081		[{0,100}]	1081	[2,7]
10110082	战士武器强化82	110	1	82	10110082		[{0,100}]	1082	[2,7]
10110083	战士武器强化83	110	1	83	10110083		[{0,100}]	1083	[2,7]
10110084	战士武器强化84	110	1	84	10110084		[{0,100}]	1084	[2,7]
10110085	战士武器强化85	110	1	85	10110085		[{0,100}]	1085	[2,7]
10110086	战士武器强化86	110	1	86	10110086		[{0,100}]	1086	[2,7]
10110087	战士武器强化87	110	1	87	10110087		[{0,100}]	1087	[2,7]
10110088	战士武器强化88	110	1	88	10110088		[{0,100}]	1088	[2,7]
10110089	战士武器强化89	110	1	89	10110089		[{0,100}]	1089	[2,7]
10110090	战士武器强化90	110	1	90	10110090		[{0,100}]	1090	[2,7]
10110091	战士武器强化91	110	1	91	10110091		[{0,100}]	1091	[2,7]
10110092	战士武器强化92	110	1	92	10110092		[{0,100}]	1092	[2,7]
10110093	战士武器强化93	110	1	93	10110093		[{0,100}]	1093	[2,7]
10110094	战士武器强化94	110	1	94	10110094		[{0,100}]	1094	[2,7]
10110095	战士武器强化95	110	1	95	10110095		[{0,100}]	1095	[2,7]
10110096	战士武器强化96	110	1	96	10110096		[{0,100}]	1096	[2,7]
10110097	战士武器强化97	110	1	97	10110097		[{0,100}]	1097	[2,7]
10110098	战士武器强化98	110	1	98	10110098		[{0,100}]	1098	[2,7]
10110099	战士武器强化99	110	1	99	10110099		[{0,100}]	1099	[2,7]
10110100	战士武器强化100	110	1	100	10110100		[{0,100}]	1100	[2,7]
10101000	战士头盔强化0	101	1	0	10210000		[{0,100}]	1	
10101001	战士头盔强化1	101	1	1	10210001		[{0,100}]	1001	
10101002	战士头盔强化2	101	1	2	10210002		[{0,100}]	1002	
10101003	战士头盔强化3	101	1	3	10210003		[{0,100}]	1003	
10101004	战士头盔强化4	101	1	4	10210004		[{0,100}]	1004	
10101005	战士头盔强化5	101	1	5	10210005		[{0,100}]	1005	
10101006	战士头盔强化6	101	1	6	10210006		[{0,100}]	1006	
10101007	战士头盔强化7	101	1	7	10210007		[{0,100}]	1007	
10101008	战士头盔强化8	101	1	8	10210008		[{0,100}]	1008	
10101009	战士头盔强化9	101	1	9	10210009		[{0,100}]	1009	
10101010	战士头盔强化10	101	1	10	10210010		[{0,100}]	1010	
10101011	战士头盔强化11	101	1	11	10210011		[{0,100}]	1011	
10101012	战士头盔强化12	101	1	12	10210012		[{0,100}]	1012	
10101013	战士头盔强化13	101	1	13	10210013		[{0,100}]	1013	
10101014	战士头盔强化14	101	1	14	10210014		[{0,100}]	1014	
10101015	战士头盔强化15	101	1	15	10210015		[{0,100}]	1015	
10101016	战士头盔强化16	101	1	16	10210016		[{0,100}]	1016	
10101017	战士头盔强化17	101	1	17	10210017		[{0,100}]	1017	
10101018	战士头盔强化18	101	1	18	10210018		[{0,100}]	1018	
10101019	战士头盔强化19	101	1	19	10210019		[{0,100}]	1019	
10101020	战士头盔强化20	101	1	20	10210020		[{0,100}]	1020	
10101021	战士头盔强化21	101	1	21	10210021		[{0,100}]	1021	
10101022	战士头盔强化22	101	1	22	10210022		[{0,100}]	1022	
10101023	战士头盔强化23	101	1	23	10210023		[{0,100}]	1023	
10101024	战士头盔强化24	101	1	24	10210024		[{0,100}]	1024	
10101025	战士头盔强化25	101	1	25	10210025		[{0,100}]	1025	
10101026	战士头盔强化26	101	1	26	10210026		[{0,100}]	1026	
10101027	战士头盔强化27	101	1	27	10210027		[{0,100}]	1027	
10101028	战士头盔强化28	101	1	28	10210028		[{0,100}]	1028	
10101029	战士头盔强化29	101	1	29	10210029		[{0,100}]	1029	
10101030	战士头盔强化30	101	1	30	10210030		[{0,100}]	1030	
10101031	战士头盔强化31	101	1	31	10210031		[{0,100}]	1031	
10101032	战士头盔强化32	101	1	32	10210032		[{0,100}]	1032	
10101033	战士头盔强化33	101	1	33	10210033		[{0,100}]	1033	
10101034	战士头盔强化34	101	1	34	10210034		[{0,100}]	1034	
10101035	战士头盔强化35	101	1	35	10210035		[{0,100}]	1035	
10101036	战士头盔强化36	101	1	36	10210036		[{0,100}]	1036	
10101037	战士头盔强化37	101	1	37	10210037		[{0,100}]	1037	
10101038	战士头盔强化38	101	1	38	10210038		[{0,100}]	1038	
10101039	战士头盔强化39	101	1	39	10210039		[{0,100}]	1039	
10101040	战士头盔强化40	101	1	40	10210040		[{0,100}]	1040	
10101041	战士头盔强化41	101	1	41	10210041		[{0,100}]	1041	
10101042	战士头盔强化42	101	1	42	10210042		[{0,100}]	1042	
10101043	战士头盔强化43	101	1	43	10210043		[{0,100}]	1043	
10101044	战士头盔强化44	101	1	44	10210044		[{0,100}]	1044	
10101045	战士头盔强化45	101	1	45	10210045		[{0,100}]	1045	
10101046	战士头盔强化46	101	1	46	10210046		[{0,100}]	1046	
10101047	战士头盔强化47	101	1	47	10210047		[{0,100}]	1047	
10101048	战士头盔强化48	101	1	48	10210048		[{0,100}]	1048	
10101049	战士头盔强化49	101	1	49	10210049		[{0,100}]	1049	
10101050	战士头盔强化50	101	1	50	10210050		[{0,100}]	1050	
10101051	战士头盔强化51	101	1	51	10210051		[{0,100}]	1051	
10101052	战士头盔强化52	101	1	52	10210052		[{0,100}]	1052	
10101053	战士头盔强化53	101	1	53	10210053		[{0,100}]	1053	
10101054	战士头盔强化54	101	1	54	10210054		[{0,100}]	1054	
10101055	战士头盔强化55	101	1	55	10210055		[{0,100}]	1055	
10101056	战士头盔强化56	101	1	56	10210056		[{0,100}]	1056	
10101057	战士头盔强化57	101	1	57	10210057		[{0,100}]	1057	
10101058	战士头盔强化58	101	1	58	10210058		[{0,100}]	1058	
10101059	战士头盔强化59	101	1	59	10210059		[{0,100}]	1059	
10101060	战士头盔强化60	101	1	60	10210060		[{0,100}]	1060	
10101061	战士头盔强化61	101	1	61	10210061		[{0,100}]	1061	
10101062	战士头盔强化62	101	1	62	10210062		[{0,100}]	1062	
10101063	战士头盔强化63	101	1	63	10210063		[{0,100}]	1063	
10101064	战士头盔强化64	101	1	64	10210064		[{0,100}]	1064	
10101065	战士头盔强化65	101	1	65	10210065		[{0,100}]	1065	
10101066	战士头盔强化66	101	1	66	10210066		[{0,100}]	1066	
10101067	战士头盔强化67	101	1	67	10210067		[{0,100}]	1067	
10101068	战士头盔强化68	101	1	68	10210068		[{0,100}]	1068	
10101069	战士头盔强化69	101	1	69	10210069		[{0,100}]	1069	
10101070	战士头盔强化70	101	1	70	10210070		[{0,100}]	1070	
10101071	战士头盔强化71	101	1	71	10210071		[{0,100}]	1071	
10101072	战士头盔强化72	101	1	72	10210072		[{0,100}]	1072	
10101073	战士头盔强化73	101	1	73	10210073		[{0,100}]	1073	
10101074	战士头盔强化74	101	1	74	10210074		[{0,100}]	1074	
10101075	战士头盔强化75	101	1	75	10210075		[{0,100}]	1075	
10101076	战士头盔强化76	101	1	76	10210076		[{0,100}]	1076	
10101077	战士头盔强化77	101	1	77	10210077		[{0,100}]	1077	
10101078	战士头盔强化78	101	1	78	10210078		[{0,100}]	1078	
10101079	战士头盔强化79	101	1	79	10210079		[{0,100}]	1079	
10101080	战士头盔强化80	101	1	80	10210080		[{0,100}]	1080	
10101081	战士头盔强化81	101	1	81	10210081		[{0,100}]	1081	
10101082	战士头盔强化82	101	1	82	10210082		[{0,100}]	1082	
10101083	战士头盔强化83	101	1	83	10210083		[{0,100}]	1083	
10101084	战士头盔强化84	101	1	84	10210084		[{0,100}]	1084	
10101085	战士头盔强化85	101	1	85	10210085		[{0,100}]	1085	
10101086	战士头盔强化86	101	1	86	10210086		[{0,100}]	1086	
10101087	战士头盔强化87	101	1	87	10210087		[{0,100}]	1087	
10101088	战士头盔强化88	101	1	88	10210088		[{0,100}]	1088	
10101089	战士头盔强化89	101	1	89	10210089		[{0,100}]	1089	
10101090	战士头盔强化90	101	1	90	10210090		[{0,100}]	1090	
10101091	战士头盔强化91	101	1	91	10210091		[{0,100}]	1091	
10101092	战士头盔强化92	101	1	92	10210092		[{0,100}]	1092	
10101093	战士头盔强化93	101	1	93	10210093		[{0,100}]	1093	
10101094	战士头盔强化94	101	1	94	10210094		[{0,100}]	1094	
10101095	战士头盔强化95	101	1	95	10210095		[{0,100}]	1095	
10101096	战士头盔强化96	101	1	96	10210096		[{0,100}]	1096	
10101097	战士头盔强化97	101	1	97	10210097		[{0,100}]	1097	
10101098	战士头盔强化98	101	1	98	10210098		[{0,100}]	1098	
10101099	战士头盔强化99	101	1	99	10210099		[{0,100}]	1099	
10101100	战士头盔强化100	101	1	100	10210100		[{0,100}]	1100	
10102000	战士衣服强化0	102	1	0	10310000		[{0,100}]	1	
10102001	战士衣服强化1	102	1	1	10310001		[{0,100}]	1001	
10102002	战士衣服强化2	102	1	2	10310002		[{0,100}]	1002	
10102003	战士衣服强化3	102	1	3	10310003		[{0,100}]	1003	
10102004	战士衣服强化4	102	1	4	10310004		[{0,100}]	1004	
10102005	战士衣服强化5	102	1	5	10310005		[{0,100}]	1005	
10102006	战士衣服强化6	102	1	6	10310006		[{0,100}]	1006	
10102007	战士衣服强化7	102	1	7	10310007		[{0,100}]	1007	
