等级	经验
level	exp
1	750
2	800
3	900
4	1200
5	1700
6	2650
7	4000
8	6000
9	8750
10	12350
11	17000
12	22850
13	30050
14	38850
15	49400
16	61850
17	76500
18	93550
19	113150
20	135650
21	161250
22	190200
23	222750
24	259250
25	299950
26	345100
27	395100
28	450200
29	510700
30	577050
31	649500
32	728400
33	814150
34	907150
35	1007750
36	1116350
37	1233350
38	1359150
39	1494200
40	1638900
41	1793700
42	1959100
43	2135500
44	2323400
45	2523250
46	2735600
47	2960850
48	3199650
49	3452400
50	3719650
51	4001950
52	4299850
53	4613950
54	4944750
55	5292850
56	5658850
57	6043300
58	6446850
59	6870100
60	7313650
61	7778200
62	8264350
63	8772700
64	9304000
65	9858900
66	10438050
67	11042200
68	11671950
69	12328100
70	13011350
71	13722450
72	14462050
73	15231000
74	16030000
75	16859850
76	17721300
77	18615150
78	19542200
79	20503250
80	21499150
81	22530700
82	23598700
83	24704000
84	25847500
85	27030050
86	28252550
87	29515800
88	30820800
89	32168350
90	33559400
91	34994900
92	36475800
93	38002950
94	39577350
95	41200000
96	42871800
97	44593750
98	46366850
99	48192150
100	50070550
