索引id	宠物id	name	等级	升级增加属性id(spirit_attr的id)	进阶消耗id	阶数	被动技能槽位(共6个槽位)	进阶增加属性id(spirit_attr的id)
id	client_pet_id	client_name	level	level_attr_id	advance_cost	advance	skill_set	advance_attr_id
11012001	11012001	蓝色迅猛龙	1	61001			1	
11012002	11012001	蓝色迅猛龙	2	61002				
11012003	11012001	蓝色迅猛龙	3	61003				
11012004	11012001	蓝色迅猛龙	4	61004				
11012005	11012001	蓝色迅猛龙	5	61005				
11012006	11012001	蓝色迅猛龙	6	61006				
11012007	11012001	蓝色迅猛龙	7	61007				
11012008	11012001	蓝色迅猛龙	8	61008				
11012009	11012001	蓝色迅猛龙	9	61009				
11012010	11012001	蓝色迅猛龙	10	61010	9001	1		601001
11012011	11012001	蓝色迅猛龙	11	61011				
11012012	11012001	蓝色迅猛龙	12	61012				
11012013	11012001	蓝色迅猛龙	13	61013				
11012014	11012001	蓝色迅猛龙	14	61014				
11012015	11012001	蓝色迅猛龙	15	61015				
11012016	11012001	蓝色迅猛龙	16	61016				
11012017	11012001	蓝色迅猛龙	17	61017				
11012018	11012001	蓝色迅猛龙	18	61018				
11012019	11012001	蓝色迅猛龙	19	61019				
11012020	11012001	蓝色迅猛龙	20	61020	9002	2	2	601002
11012021	11012001	蓝色迅猛龙	21	61021				
11012022	11012001	蓝色迅猛龙	22	61022				
11012023	11012001	蓝色迅猛龙	23	61023				
11012024	11012001	蓝色迅猛龙	24	61024				
11012025	11012001	蓝色迅猛龙	25	61025				
11012026	11012001	蓝色迅猛龙	26	61026				
11012027	11012001	蓝色迅猛龙	27	61027				
11012028	11012001	蓝色迅猛龙	28	61028				
11012029	11012001	蓝色迅猛龙	29	61029				
11012030	11012001	蓝色迅猛龙	30	61030	9003	3		601003
11012031	11012001	蓝色迅猛龙	31	61031				
11012032	11012001	蓝色迅猛龙	32	61032				
11012033	11012001	蓝色迅猛龙	33	61033				
11012034	11012001	蓝色迅猛龙	34	61034				
11012035	11012001	蓝色迅猛龙	35	61035				
11012036	11012001	蓝色迅猛龙	36	61036				
11012037	11012001	蓝色迅猛龙	37	61037				
11012038	11012001	蓝色迅猛龙	38	61038				
11012039	11012001	蓝色迅猛龙	39	61039				
11012040	11012001	蓝色迅猛龙	40	61040	9004	4	3	601004
11012041	11012001	蓝色迅猛龙	41	61041				
11012042	11012001	蓝色迅猛龙	42	61042				
11012043	11012001	蓝色迅猛龙	43	61043				
11012044	11012001	蓝色迅猛龙	44	61044				
11012045	11012001	蓝色迅猛龙	45	61045				
11012046	11012001	蓝色迅猛龙	46	61046				
11012047	11012001	蓝色迅猛龙	47	61047				
11012048	11012001	蓝色迅猛龙	48	61048				
11012049	11012001	蓝色迅猛龙	49	61049				
11012050	11012001	蓝色迅猛龙	50	61050	9005	5		601005
11012051	11012001	蓝色迅猛龙	51	61051				
11012052	11012001	蓝色迅猛龙	52	61052				
11012053	11012001	蓝色迅猛龙	53	61053				
11012054	11012001	蓝色迅猛龙	54	61054				
11012055	11012001	蓝色迅猛龙	55	61055				
11012056	11012001	蓝色迅猛龙	56	61056				
11012057	11012001	蓝色迅猛龙	57	61057				
11012058	11012001	蓝色迅猛龙	58	61058				
11012059	11012001	蓝色迅猛龙	59	61059				
11012060	11012001	蓝色迅猛龙	60	61060	9006	6	4	601006
11012061	11012001	蓝色迅猛龙	61	61061				
11012062	11012001	蓝色迅猛龙	62	61062				
11012063	11012001	蓝色迅猛龙	63	61063				
11012064	11012001	蓝色迅猛龙	64	61064				
11012065	11012001	蓝色迅猛龙	65	61065				
11012066	11012001	蓝色迅猛龙	66	61066				
11012067	11012001	蓝色迅猛龙	67	61067				
11012068	11012001	蓝色迅猛龙	68	61068				
11012069	11012001	蓝色迅猛龙	69	61069				
11012070	11012001	蓝色迅猛龙	70	61070	9007	7		601007
11012071	11012001	蓝色迅猛龙	71	61071				
11012072	11012001	蓝色迅猛龙	72	61072				
11012073	11012001	蓝色迅猛龙	73	61073				
11012074	11012001	蓝色迅猛龙	74	61074				
11012075	11012001	蓝色迅猛龙	75	61075				
11012076	11012001	蓝色迅猛龙	76	61076				
11012077	11012001	蓝色迅猛龙	77	61077				
11012078	11012001	蓝色迅猛龙	78	61078				
11012079	11012001	蓝色迅猛龙	79	61079				
11012080	11012001	蓝色迅猛龙	80	61080	9008	8	5	601008
11012081	11012001	蓝色迅猛龙	81	61081				
11012082	11012001	蓝色迅猛龙	82	61082				
11012083	11012001	蓝色迅猛龙	83	61083				
11012084	11012001	蓝色迅猛龙	84	61084				
11012085	11012001	蓝色迅猛龙	85	61085				
11012086	11012001	蓝色迅猛龙	86	61086				
11012087	11012001	蓝色迅猛龙	87	61087				
11012088	11012001	蓝色迅猛龙	88	61088				
11012089	11012001	蓝色迅猛龙	89	61089				
11012090	11012001	蓝色迅猛龙	90	61090	9009	9		601009
11012091	11012001	蓝色迅猛龙	91	61091				
11012092	11012001	蓝色迅猛龙	92	61092				
11012093	11012001	蓝色迅猛龙	93	61093				
11012094	11012001	蓝色迅猛龙	94	61094				
11012095	11012001	蓝色迅猛龙	95	61095				
11012096	11012001	蓝色迅猛龙	96	61096				
11012097	11012001	蓝色迅猛龙	97	61097				
11012098	11012001	蓝色迅猛龙	98	61098				
11012099	11012001	蓝色迅猛龙	99	61099				
11012100	11012001	蓝色迅猛龙	100	61100	9010	10	6	601010
11013001	11013001	紫色迅猛龙	1	62001			1	
11013002	11013001	紫色迅猛龙	2	62002				
11013003	11013001	紫色迅猛龙	3	62003				
11013004	11013001	紫色迅猛龙	4	62004				
11013005	11013001	紫色迅猛龙	5	62005				
11013006	11013001	紫色迅猛龙	6	62006				
11013007	11013001	紫色迅猛龙	7	62007				
11013008	11013001	紫色迅猛龙	8	62008				
11013009	11013001	紫色迅猛龙	9	62009				
11013010	11013001	紫色迅猛龙	10	62010	9001	1		602001
11013011	11013001	紫色迅猛龙	11	62011				
11013012	11013001	紫色迅猛龙	12	62012				
11013013	11013001	紫色迅猛龙	13	62013				
11013014	11013001	紫色迅猛龙	14	62014				
11013015	11013001	紫色迅猛龙	15	62015				
11013016	11013001	紫色迅猛龙	16	62016				
11013017	11013001	紫色迅猛龙	17	62017				
11013018	11013001	紫色迅猛龙	18	62018				
11013019	11013001	紫色迅猛龙	19	62019				
11013020	11013001	紫色迅猛龙	20	62020	9002	2	2	602002
11013021	11013001	紫色迅猛龙	21	62021				
11013022	11013001	紫色迅猛龙	22	62022				
11013023	11013001	紫色迅猛龙	23	62023				
11013024	11013001	紫色迅猛龙	24	62024				
11013025	11013001	紫色迅猛龙	25	62025				
11013026	11013001	紫色迅猛龙	26	62026				
11013027	11013001	紫色迅猛龙	27	62027				
11013028	11013001	紫色迅猛龙	28	62028				
11013029	11013001	紫色迅猛龙	29	62029				
11013030	11013001	紫色迅猛龙	30	62030	9003	3		602003
11013031	11013001	紫色迅猛龙	31	62031				
11013032	11013001	紫色迅猛龙	32	62032				
11013033	11013001	紫色迅猛龙	33	62033				
11013034	11013001	紫色迅猛龙	34	62034				
11013035	11013001	紫色迅猛龙	35	62035				
11013036	11013001	紫色迅猛龙	36	62036				
11013037	11013001	紫色迅猛龙	37	62037				
11013038	11013001	紫色迅猛龙	38	62038				
11013039	11013001	紫色迅猛龙	39	62039				
11013040	11013001	紫色迅猛龙	40	62040	9004	4	3	602004
11013041	11013001	紫色迅猛龙	41	62041				
11013042	11013001	紫色迅猛龙	42	62042				
11013043	11013001	紫色迅猛龙	43	62043				
11013044	11013001	紫色迅猛龙	44	62044				
11013045	11013001	紫色迅猛龙	45	62045				
11013046	11013001	紫色迅猛龙	46	62046				
11013047	11013001	紫色迅猛龙	47	62047				
11013048	11013001	紫色迅猛龙	48	62048				
11013049	11013001	紫色迅猛龙	49	62049				
11013050	11013001	紫色迅猛龙	50	62050	9005	5		602005
11013051	11013001	紫色迅猛龙	51	62051				
11013052	11013001	紫色迅猛龙	52	62052				
11013053	11013001	紫色迅猛龙	53	62053				
11013054	11013001	紫色迅猛龙	54	62054				
11013055	11013001	紫色迅猛龙	55	62055				
11013056	11013001	紫色迅猛龙	56	62056				
11013057	11013001	紫色迅猛龙	57	62057				
11013058	11013001	紫色迅猛龙	58	62058				
11013059	11013001	紫色迅猛龙	59	62059				
11013060	11013001	紫色迅猛龙	60	62060	9006	6	4	602006
11013061	11013001	紫色迅猛龙	61	62061				
11013062	11013001	紫色迅猛龙	62	62062				
11013063	11013001	紫色迅猛龙	63	62063				
11013064	11013001	紫色迅猛龙	64	62064				
11013065	11013001	紫色迅猛龙	65	62065				
11013066	11013001	紫色迅猛龙	66	62066				
11013067	11013001	紫色迅猛龙	67	62067				
11013068	11013001	紫色迅猛龙	68	62068				
